ben,psu-id,psu-name,bw,discount,cost,bucket
16084044,32S,KIPP Durham College Preparatory,250,90,12708,1
209589,96C,Dillard Academy,250,90,12708,1
200742,32B,Durham Charter School,250,90,12708,1
209694,32A,Maureen Joy Charter School,1000,90,26796,1
126901,480,Hyde County Schools,1000,90,25836,1
126919,890,Tyrrell County Schools,1000,90,25836,1
17001253,42A,KIPP Halifax College Preparatory,250,90,14664,1
221558,06B,Marjorie Williams Academy,250,90,17052,1
126891,660,Northampton County Schools,1000,90,25836,1
126908,422,Weldon City Schools,1000,90,25836,1
127043,520,Jones County Schools,1000,90,27816,1
227569,66A,KIPP Gaston College Preparatory,500,90,20472,1
16026517,64A,Rocky Mount Preparatory,500,90,20472,1
127109,220,Clay County Schools,1000,80,65136,1
126819,761,Asheboro City Schools,2000,90,43788,1
126936,080,Bertie County Schools,1000,90,25836,1
126847,170,Caswell County Schools,1000,90,25836,1
126939,460,Hertford County Schools,1000,90,25836,1
126910,580,Martin County Schools,1000,90,25836,1
126869,930,Warren County Schools,1000,90,25836,1
126933,940,Washington County Schools,1000,90,25836,1
126833,291,Lexington City Schools,2000,90,45744,1
126843,292,Thomasville City Schools,1000,90,26796,1
126982,821,Clinton City Schools,1000,90,27816,1
126889,420,Halifax County Schools,2000,90,51960,1
16076903,91B,Henderson Collegiate,1000,90,27816,1
222193,60B,Sugar Creek Charter,1000,90,32688,1
127111,200,Cherokee County Schools,2000,80,78888,1
127093,590,McDowell County Schools,2000,80,45288,1
126984,090,Bladen County Schools,2000,90,51960,1
126969,040,Anson County Schools,2000,90,43788,1
126905,070,Beaufort County Schools,2000,90,43788,1
127022,160,Carteret County Public Schools,4000,90,74544,1
127014,240,Columbus County Schools,2000,90,43788,1
126904,330,Edgecombe County Public Schools,3000,90,60768,1
126915,700,Elizabeth City-Pasquotank Public Schools,3000,80,60768,1
127039,400,Greene County Schools,2000,90,43788,1
126992,830,Scotland County Schools,2000,90,43788,1
126857,910,Vance County Schools,3000,90,60768,1
127013,241,Whiteville City Schools,1000,90,25836,1
127073,970,Wilkes County Schools,3000,80,60768,1
127007,710,Pender County Schools,4000,80,97260,1
127092,560,Macon County Schools,2000,80,78888,1
127055,140,Caldwell County Schools,4000,80,74544,1
127059,180,Catawba County Schools,5000,80,87732,1
126964,230,Cleveland County Schools,4000,90,74544,1
126864,390,Granville County Schools,4000,80,74544,1
127090,450,Henderson County Schools,5000,80,87732,1
126949,132,Kannapolis City Schools,3000,90,60768,1
126988,770,Richmond County Schools,3000,90,60768,1
126967,810,Rutherford County Schools,4000,90,74544,1
126941,840,Stanly County Schools,3000,80,60768,1
126860,350,Franklin County Schools,3000,80,62424,1
126832,790,Rockingham County Schools,4000,80,76956,1
126997,470,Hoke County Schools,3000,90,75024,1
126981,820,Sampson County Schools,4000,90,98676,1
127035,250,Craven County Schools,5000,80,87732,1
126894,640,Nash County Public Schools,5000,90,87732,1
126820,760,Randolph County School System,7500,80,120708,1
127005,650,New Hanover County Schools,7500,80,158892,1
126990,310,Duplin County Schools,5000,90,121728,1
208677,100,Brunswick County Schools,7500,90,165324,1
127065,120,Burke County Schools,5000,80,87732,1
126855,960,Wayne County Public Schools,7500,90,120708,1
127107,110,Buncombe County Schools,5000,80,113220,1
126960,800,Rowan-Salisbury Schools,7500,80,158892,1
126858,430,Harnett County Schools,7500,80,120708,1
127028,670,Onslow County Schools,7500,80,120708,1
126888,740,Pitt County Schools,10000,80,151224,1
126946,360,Gaston County Schools,10000,80,151224,1
126878,320,Durham Public Schools,15000,80,222996,1
126823,010,Alamance-Burlington Schools,10000,80,190992,1
126975,260,Cumberland County Schools,20000,90,272748,1
126867,510,Johnston County Public Schools,20000,70,272748,1
126994,780,Public Schools of Robeson County,15000,90,216912,1
126817,340,Winston Salem / Forsyth County Schools,20000,80,282084,1
126850,410,Guilford County Schools,30000,80,407544,1
127017,540,Lenoir County Public Schools,7500,90,165864,1
126973,600,Charlotte-Mecklenburg Schools,50000,80,617280,1
126877,920,Wake County Schools,50000,50,617280,1
16072432,67B,Z.E.C.A. School of Arts and Technology,250,90,14664,2
16076790,60N,Aristotle Preparatory Academy,250,90,17052,2
198966,54A,Children's Village Academy,250,90,14664,2
227621,32C,Community School of Digital & Visual Art,250,90,12708,2
16055919,32M,Global Scholars Academy,250,90,12708,2
14505899,69A,Arapahoe Charter School,250,90,14664,2
16057188,24N,Classical Charter Schools of Whiteville,250,90,14664,2
231728,93A,Haliwa-Saponi Tribal School,250,90,14664,2
222241,34D,Carter G. Woodson School,250,90,17052,2
17002734,65G,Girls Leadership Academy of Wilmington,250,90,17052,2
16063039,41C,Guilford Preparatory Academy,250,90,17052,2
17016634,61T,Movement Charter School,250,90,17052,2
223348,34B,Quality Education Academy,500,90,23556,2
126922,210,Edenton-Chowan Schools,1000,80,25836,2
127098,380,Graham County Schools,1000,80,25836,2
127087,750,Polk County Schools,1000,80,25836,2
126898,421,Roanoke Rapids City Schools,1000,80,25836,2
127021,690,Pamlico County Schools,1000,90,27816,2
127066,020,Alexander County Schools,2000,70,43788,2
127052,050,Ashe County Schools,2000,80,43788,2
127058,060,Avery County Schools,1000,80,25836,2
126810,862,Mount Airy City Schools,1000,80,25836,2
127060,182,Newton Conover City Schools,1000,80,25836,2
126926,720,Perquimans County Schools,1000,80,25836,2
127080,870,Swain County Schools,1000,80,25836,2
127076,880,Transylvania County Schools,1000,80,25836,2
127081,995,Yancey County Schools,1000,80,25836,2
16072415,65C,Classical Charter Schools of Wilmington,500,90,23556,2
16083218,93J,RISE Southeast Raleigh Charter,500,90,23556,2
16067372,41F,Triad Math and Science Academy,500,80,23556,2
126844,620,Montgomery County Schools,2000,80,51960,2
127096,570,Madison County Schools,1000,70,32136,2
127075,610,Mitchell County Schools,1000,80,32688,2
127064,030,Alleghany County Schools,2000,80,43788,2
126928,280,Dare County Schools,3000,70,60768,2
127103,440,Haywood County Schools,2000,80,43788,2
127101,500,Jackson County Public Schools,2000,80,43788,2
126865,730,Person County Schools,2000,80,43788,2
126801,850,Stokes County Schools,3000,80,60768,2
126804,860,Surry County Schools,3000,80,60768,2
127046,181,Hickory City Schools,2000,80,45288,2
126809,300,Davie County Schools,2000,70,45744,2
126828,680,Orange County Schools,2000,60,45744,2
126815,990,Yadkin County Schools,2000,80,45744,2
126953,550,Lincoln County Schools,4000,70,74544,2
126837,190,Chatham County Schools,4000,70,98676,2
126840,530,Lee County Schools,4000,80,74544,2
126979,630,Moore County Schools,5000,70,87732,2
126957,491,Mooresville Graded School District,4000,60,74544,2
126912,980,Wilson County Schools,5000,80,87732,2
126853,681,Chapel Hill-Carrboro City Schools,5000,50,87732,2
127068,490,Iredell-Statesville Schools,7500,60,120708,2
126955,900,Union County Public Schools,10000,50,151224,2
126835,290,Davidson County Schools,10000,70,152688,2
126943,130,Cabarrus County Schools,15000,60,216912,2
16050733,87A,Mountain Discovery,250,70,21468,3
