
=== chromium · coarse-390x844 · faces {"Fraunces":28,"Fira Code":22,"Patrick Hand":46} ===
  Patrick Hand   span.heading-value           "Easy"  →  U+0045 "E"
  Patrick Hand   span.icon-sublabel           "Deal"  →  U+0044 "D"
  Fira Code      button.ctrl-btn.rounded-md   "Normal"  →  U+004E "N", U+006F "o", U+006C "l"
  Fira Code      button.ctrl-btn.rounded-md   "Corner"  →  U+0043 "C", U+006F "o", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Center"  →  U+0043 "C", U+006E "n", U+0074 "t"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "On"  →  U+004F "O", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "Ask"  →  U+0041 "A", U+006B "k"
  Fira Code      button.ctrl-btn.rounded-md   "Live"  →  U+004C "L", U+0076 "v"
  Patrick Hand   span                         "board changed · Ask again"  →  U+00B7 "·", U+0041 "A"
  Patrick Hand   span.sr-only                 "Not checking — the board changed since the last check. Choose Ask again."  →  U+004E "N", U+0041 "A"
  Patrick Hand   span.icon-sublabel           "Fill"  →  U+0046 "F"
  Patrick Hand   span.icon-sublabel           "Undo"  →  U+0055 "U"
  Patrick Hand   span.icon-sublabel           "Hint"  →  U+0048 "H"

=== chromium · fine-1440x900 · faces {"Fraunces":28,"Fira Code":22,"Patrick Hand":46} ===
  Patrick Hand   span.icon-sublabel           "Deal"  →  U+0044 "D"
  Patrick Hand   span.washi-label             "Deal"  →  U+0044 "D"
  Fira Code      button.ctrl-btn.rounded-md   "Normal"  →  U+004E "N", U+006F "o", U+006C "l"
  Fira Code      button.ctrl-btn.rounded-md   "Corner"  →  U+0043 "C", U+006F "o", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Center"  →  U+0043 "C", U+006E "n", U+0074 "t"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "On"  →  U+004F "O", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "Ask"  →  U+0041 "A", U+006B "k"
  Fira Code      button.ctrl-btn.rounded-md   "Live"  →  U+004C "L", U+0076 "v"
  Patrick Hand   span                         "board changed · Ask again"  →  U+00B7 "·", U+0041 "A"
  Patrick Hand   span.sr-only                 "Not checking — the board changed since the last check. Choose Ask again."  →  U+004E "N", U+0041 "A"
  Patrick Hand   kbd                          "K"  →  U+004B "K"
  Patrick Hand   kbd                          "H"  →  U+0048 "H"
  Patrick Hand   kbd                          "P"  →  U+0050 "P"
  Patrick Hand   kbd                          "⌘"  →  U+2318 "⌘"
  Patrick Hand   span.legend-sep              "/"  →  U+002F "/"
  Patrick Hand   kbd                          "Z"  →  U+005A "Z"
  Patrick Hand   kbd                          "⇧"  →  U+21E7 "⇧"
  Patrick Hand   kbd                          "Z"  →  U+005A "Z"

=== webkit · coarse-390x844 · faces {"Fraunces":28,"Fira Code":22,"Patrick Hand":46} ===
  Patrick Hand   span.heading-value           "Hard"  →  U+0048 "H"
  Patrick Hand   span.icon-sublabel           "Deal"  →  U+0044 "D"
  Fira Code      button.ctrl-btn.rounded-md   "Normal"  →  U+004E "N", U+006F "o", U+006C "l"
  Fira Code      button.ctrl-btn.rounded-md   "Corner"  →  U+0043 "C", U+006F "o", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Center"  →  U+0043 "C", U+006E "n", U+0074 "t"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "On"  →  U+004F "O", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "Ask"  →  U+0041 "A", U+006B "k"
  Fira Code      button.ctrl-btn.rounded-md   "Live"  →  U+004C "L", U+0076 "v"
  Patrick Hand   span                         "board changed · Ask again"  →  U+00B7 "·", U+0041 "A"
  Patrick Hand   span.sr-only                 "Not checking — the board changed since the last check. Choose Ask again."  →  U+004E "N", U+0041 "A"
  Patrick Hand   span.icon-sublabel           "Fill"  →  U+0046 "F"
  Patrick Hand   span.icon-sublabel           "Undo"  →  U+0055 "U"
  Patrick Hand   span.icon-sublabel           "Hint"  →  U+0048 "H"

=== webkit · fine-1440x900 · faces {"Fraunces":28,"Fira Code":22,"Patrick Hand":46} ===
  Patrick Hand   span.icon-sublabel           "Deal"  →  U+0044 "D"
  Patrick Hand   span.washi-label             "Deal"  →  U+0044 "D"
  Fira Code      button.ctrl-btn.rounded-md   "Normal"  →  U+004E "N", U+006F "o", U+006C "l"
  Fira Code      button.ctrl-btn.rounded-md   "Corner"  →  U+0043 "C", U+006F "o", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Center"  →  U+0043 "C", U+006E "n", U+0074 "t"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "On"  →  U+004F "O", U+006E "n"
  Fira Code      button.ctrl-btn.rounded-md   "Off"  →  U+004F "O", U+0066 "f"
  Fira Code      button.ctrl-btn.rounded-md   "Ask"  →  U+0041 "A", U+006B "k"
  Fira Code      button.ctrl-btn.rounded-md   "Live"  →  U+004C "L", U+0076 "v"
  Patrick Hand   span                         "board changed · Ask again"  →  U+00B7 "·", U+0041 "A"
  Patrick Hand   span.sr-only                 "Not checking — the board changed since the last check. Choose Ask again."  →  U+004E "N", U+0041 "A"
  Patrick Hand   kbd                          "K"  →  U+004B "K"
  Patrick Hand   kbd                          "H"  →  U+0048 "H"
  Patrick Hand   kbd                          "P"  →  U+0050 "P"
  Patrick Hand   kbd                          "⌘"  →  U+2318 "⌘"
  Patrick Hand   span.legend-sep              "/"  →  U+002F "/"
  Patrick Hand   kbd                          "Z"  →  U+005A "Z"
  Patrick Hand   kbd                          "⇧"  →  U+21E7 "⇧"
  Patrick Hand   kbd                          "Z"  →  U+005A "Z"
