chromium light 1280x800  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
chromium light 1440x900  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
chromium light 390x664  badge.top=0  btn.top=10 (44px)  rest.top=0 (64px)  icon.top=0  | M17-as-written |badge-btn|=10  INK |badge-rest|=0  |badge-icon|=0  | size=4rem hit=max(2.75rem, 4rem / 2) bleed=calc((max(2.75rem, 4rem / 2) - 4rem) / 2)
chromium dark 1280x800  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
chromium dark 1440x900  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
chromium dark 390x664  badge.top=0  btn.top=10 (44px)  rest.top=0 (64px)  icon.top=0  | M17-as-written |badge-btn|=10  INK |badge-rest|=0  |badge-icon|=0  | size=4rem hit=max(2.75rem, 4rem / 2) bleed=calc((max(2.75rem, 4rem / 2) - 4rem) / 2)
webkit light 1280x800  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
webkit light 1440x900  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
webkit light 390x664  badge.top=0  btn.top=10 (44px)  rest.top=0 (64px)  icon.top=0  | M17-as-written |badge-btn|=10  INK |badge-rest|=0  |badge-icon|=0  | size=4rem hit=max(2.75rem, 4rem / 2) bleed=calc((max(2.75rem, 4rem / 2) - 4rem) / 2)
webkit dark 1280x800  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
webkit dark 1440x900  badge.top=12  btn.top=64 (104px)  rest.top=12 (208px)  icon.top=12  | M17-as-written |badge-btn|=52  INK |badge-rest|=0  |badge-icon|=0  | size=13rem hit=max(2.75rem, 13rem / 2) bleed=calc((max(2.75rem, 13rem / 2) - 13rem) / 2)
webkit dark 390x664  badge.top=0  btn.top=10 (44px)  rest.top=0 (64px)  icon.top=0  | M17-as-written |badge-btn|=10  INK |badge-rest|=0  |badge-icon|=0  | size=4rem hit=max(2.75rem, 4rem / 2) bleed=calc((max(2.75rem, 4rem / 2) - 4rem) / 2)
