# FA6 — per-file denominator, all:true present vs absent (vitest 4.1.10)
# file	stmt.total WITH	stmt.total WITHOUT	pct WITH	pct WITHOUT
src/App.vue	248	248	0	0
src/composables/useDebug.ts	2	2	100	100
src/composables/useLiveRegion.ts	10	10	100	100
src/composables/useShortcutPolicy.ts	22	22	100	100
src/composables/useTheme.ts	4	4	100	100
src/games/cards.ts	33	33	100	100
src/games/futoshiki/CaretOverlay.vue	2	2	100	100
src/games/futoshiki/FutoshikiCaret.vue	4	4	50	50
src/games/futoshiki/FutoshikiPoster.vue	41	41	100	100
src/games/futoshiki/clue.ts	75	75	100	100
src/games/futoshiki/composables/useFutoshiki.ts	29	29	51.72	51.72
src/games/futoshiki/spec.ts	6	6	50	50
src/games/futoshiki/types.ts	0	0	100	100
src/games/kenken/KenKenPoster.vue	30	30	100	100
src/games/kenken/clue.ts	56	56	100	100
src/games/kenken/composables/useKenken.ts	29	29	51.72	51.72
src/games/kenken/spec.ts	6	6	50	50
src/games/kenken/types.ts	0	0	100	100
src/games/killer/KillerPoster.vue	32	32	100	100
src/games/killer/clue.ts	54	54	100	100
src/games/killer/composables/useKiller.ts	28	28	50	50
src/games/killer/spec.ts	6	6	50	50
src/games/killer/types.ts	0	0	100	100
src/games/shared/BoardHost.vue	85	85	0	0
src/games/shared/CageOverlay.vue	35	35	100	100
src/games/shared/DifficultyTally.vue	65	65	80	76.92
src/games/shared/DigitCell.vue	47	47	80.85	80.85
src/games/shared/DrawerTab.vue	6	6	0	0
src/games/shared/GameBoard.vue	317	317	60.56	60.56
src/games/shared/GameControlPanel.vue	246	246	65.44	65.44
src/games/shared/GameScene.vue	18	18	0	0
src/games/shared/GameShell.vue	43	43	0	0
src/games/shared/PosterBoard.vue	26	26	100	100
src/games/shared/SolverErrorNote.vue	11	11	18.18	18.18
src/games/shared/conflicts.ts	59	59	100	100
src/games/shared/constants.ts	1	1	100	100
src/games/shared/defineGame.ts	1	1	100	100
src/games/shared/honestHaptics.ts	4	4	75	75
src/games/shared/persistence.ts	155	155	92.9	92.9
src/games/shared/playerIdentity.ts	71	71	95.77	95.77
src/games/shared/relayWire.ts	97	97	92.78	92.78
src/games/shared/selectors.ts	4	4	100	100
src/games/shared/solveTally.ts	5	5	0	0
