engine	dpr	strip	size	cov	cov_nofilter	cov_opsz52	filt_changed_frac	filt_mean_abs_cov	grad_ratio	blur_sigma_dev_px	glyph_core_CR_median	keyed_frac_under3	keyed_frac_under4.5	tile_on_strip
chromium	1	dark-active	16	0.5212	0.5235	0.4801	0.0234	0.0066	0.9906	0	16.08	0.202	0.289	11.38
chromium	1	dark-active	180	0.5221	0.5267	0.4729	0.0082	0.0074	1.0151	0.25	16.08	0.024	0.03	11.38
chromium	1	dark-active	32	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	11.38
chromium	1	dark-active	48	0.522	0.526	0.4748	0.0026	0.0051	0.9913	0	16.08	0.08	0.104	11.38
chromium	1	dark-strip	16	0.5212	0.5235	0.4801	0.0234	0.0066	0.9906	0	16.08	0.202	0.289	15.19
chromium	1	dark-strip	180	0.5221	0.5267	0.4729	0.0082	0.0074	1.0151	0.25	16.08	0.024	0.03	15.19
chromium	1	dark-strip	32	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	15.19
chromium	1	dark-strip	48	0.522	0.526	0.4748	0.0026	0.0051	0.9913	0	16.08	0.08	0.104	15.19
chromium	1	light-active	16	0.5212	0.5235	0.4801	0.0234	0.0066	0.9906	0	16.08	0.202	0.289	1.06
chromium	1	light-active	180	0.5221	0.5267	0.4729	0.0082	0.0074	1.0151	0.25	16.08	0.024	0.03	1.06
chromium	1	light-active	32	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	1.06
chromium	1	light-active	48	0.522	0.526	0.4748	0.0026	0.0051	0.9913	0	16.08	0.08	0.104	1.06
chromium	1	light-strip	16	0.5212	0.5235	0.4801	0.0234	0.0066	0.9906	0	16.08	0.202	0.289	1.24
chromium	1	light-strip	180	0.5221	0.5267	0.4729	0.0082	0.0074	1.0151	0.25	16.08	0.024	0.03	1.24
chromium	1	light-strip	32	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	1.24
chromium	1	light-strip	48	0.522	0.526	0.4748	0.0026	0.0051	0.9913	0	16.08	0.08	0.104	1.24
chromium	2	dark-active	16	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	11.38
chromium	2	dark-active	180	0.5226	0.527	0.4721	0.0199	0.013	1.0221	0.7	16.08	0.012	0.015	11.38
chromium	2	dark-active	32	0.5227	0.5268	0.4725	0.0027	0.0051	0.9917	0	16.08	0.066	0.08	11.38
chromium	2	dark-active	48	0.5221	0.5265	0.4717	0.0026	0.005	0.9914	0	16.08	0.046	0.058	11.38
chromium	2	dark-strip	16	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	15.19
chromium	2	dark-strip	180	0.5226	0.527	0.4721	0.0199	0.013	1.0221	0.7	16.08	0.012	0.015	15.19
chromium	2	dark-strip	32	0.5227	0.5268	0.4725	0.0027	0.0051	0.9917	0	16.08	0.066	0.08	15.19
chromium	2	dark-strip	48	0.5221	0.5265	0.4717	0.0026	0.005	0.9914	0	16.08	0.046	0.058	15.19
chromium	2	light-active	16	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	1.06
chromium	2	light-active	180	0.5226	0.527	0.4721	0.0199	0.013	1.0221	0.7	16.08	0.012	0.015	1.06
chromium	2	light-active	32	0.5227	0.5268	0.4725	0.0027	0.0051	0.9917	0	16.08	0.066	0.08	1.06
chromium	2	light-active	48	0.5221	0.5265	0.4717	0.0026	0.005	0.9914	0	16.08	0.046	0.058	1.06
chromium	2	light-strip	16	0.5196	0.5228	0.4705	0.0146	0.0057	0.9918	0	16.08	0.126	0.163	1.24
chromium	2	light-strip	180	0.5226	0.527	0.4721	0.0199	0.013	1.0221	0.7	16.08	0.012	0.015	1.24
chromium	2	light-strip	32	0.5227	0.5268	0.4725	0.0027	0.0051	0.9917	0	16.08	0.066	0.08	1.24
chromium	2	light-strip	48	0.5221	0.5265	0.4717	0.0026	0.005	0.9914	0	16.08	0.046	0.058	1.24
