engine dpr strip arm size | delta tile tile/strip | cov | apert(16dpr1) | core | frac<4.5 n<4.5 | frac<3
chromium dpr1 dark-active  W     16 |   0 (17, 15, 14) 1.58 | 0.225 | [3, 3]   | 14.83 | 0.326  28 | 0.233
chromium dpr1 dark-active  main  16 |   0 (249, 247, 244) 11.29 | 0.544 | [1, 2, 2] | 15.94 | 0.342  66 | 0.264
chromium dpr1 dark-strip   W     16 |   0 (17, 15, 14) 1.19 | 0.225 | [3, 3]   | 14.83 | 0.326  28 | 0.233
chromium dpr1 dark-strip   main  16 |   0 (249, 247, 244) 15.06 | 0.540 | [1, 2, 2] | 15.94 | 0.349  66 | 0.270
chromium dpr1 light-active W     16 |   0 (251, 250, 249) 1.04 | 0.226 | [3, 3]   | 17.90 | 0.375  33 | 0.295
chromium dpr1 light-active main  16 |   0 (249, 247, 244) 1.07 | 0.529 | [2, 2]   | 15.94 | 0.289  50 | 0.202
chromium dpr1 light-strip  W     16 |   0 (251, 250, 249) 1.26 | 0.226 | [3, 3]   | 17.90 | 0.375  33 | 0.295
chromium dpr1 light-strip  main  16 |   0 (249, 247, 244) 1.23 | 0.530 | [2, 2]   | 15.94 | 0.305  54 | 0.220
webkit   dpr1 dark-active  W     16 |   0 (17, 15, 14) 1.58 | 0.229 | [3, 3]   | 15.18 | 0.337  29 | 0.244
webkit   dpr1 dark-active  main  16 |   0 (212, 210, 208) 8.00 | 0.504 | [1, 2, 3] | 10.87 | 0.528 130 | 0.488
webkit   dpr1 dark-strip   W     16 |   0 (17, 15, 14) 1.19 | 0.229 | [3, 3]   | 15.18 | 0.337  29 | 0.244
webkit   dpr1 dark-strip   main  16 |   0 (212, 210, 208) 10.68 | 0.498 | [1, 2, 3] | 11.06 | 0.539 130 | 0.498
webkit   dpr1 light-active W     16 |   0 (251, 250, 249) 1.04 | 0.230 | [3, 3]   | 18.25 | 0.360  31 | 0.302
webkit   dpr1 light-active main  16 |   0 (212, 210, 208) 1.51 | 0.493 | [2, 3]   | 10.93 | 0.537 131 | 0.496
webkit   dpr1 light-strip  W     16 |   0 (251, 250, 249) 1.26 | 0.230 | [3, 3]   | 18.25 | 0.360  31 | 0.302
webkit   dpr1 light-strip  main  16 |   0 (212, 210, 208) 1.15 | 0.493 | [2, 3]   | 10.93 | 0.537 131 | 0.496
