K-chromium-1280-plain | #0 | L->D | flip+2 | half+157 out@half=0.9451 | land+439 | crest 1.0919@+564.60 (c-l 125) | ho 1@+1069 | born 0.1635 | dS 0.38 | transl 0 both 8 | given 4.35@164 u3=0  | user 1.14@164 u3=5 127..187 | dt med 8 max 191.7 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
K-chromium-1280-plain | #1 | D->L | flip+2 | half+132 out@half=0.9493 | land+357 | crest 1.0919@+548.7 (c-l 192) | ho 1@+1049 | born 0.0608 | dS 0.1 | transl 0 both 16 | given 4.43@119 u3=0  | user 1.16@119 u3=6 103..186 | dt med 7.9 max 30.1 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
K-chromium-1280-plain | #2 | L->D | flip+1 | half+150 out@half=0.935 | land+371 | crest 1.0919@+550.09 (c-l 179) | ho 1@+1049 | born 0.0912 | dS 0.11 | transl 0 both 15 | given 4.11@150 u3=0  | user 1.07@150 u3=6 96..180 | dt med 7.8 max 30.1 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
K-chromium-1280-plain | #3 | D->L | flip+3 | half+149 out@half=0.9371 | land+373 | crest 1.0919@+548.79 (c-l 176) | ho 1@+1058 | born 0.0971 | dS 0.12 | transl 0 both 14 | given 4.64@113 u3=0  | user 1.29@128 u3=4 113..165 | dt med 8.1 max 29.3 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
K-chromium-1280-rev | #0 | L->L | flip+16 | half+16 out@half=1 | land+643 | crest 0.8984@+314.00 (c-l -329) | ho - | born 0.1058 | dS 0.38 | transl 0 both 47 | given 1.07@527 u3=9 447..527 | user 1.16@137 u3=18 90..527 | dt med 8.1 max 133.4 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
K-chromium-1280-rev | #1 | L->L | flip+7 | half+7 out@half=1 | land+891 | crest 1.0906@+523.80 (c-l -367) | ho - | born 0.0964 | dS 0.4 | transl 0 both 29 | given 4.24@650 u3=0  | user 1.11@650 u3=12 95..710 | dt med 8.2 max 157.9 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
K-chromium-390t-plain | #0 | L->D | flip+6 | half+160 out@half=0.9297 | land+372 | crest 1.0919@+548.49 (c-l 177) | ho 1@+1059 | born 0.1368 | dS 0.32 | transl 0 both 10 | given 4.44@160 u3=0  | user 1.64@130 u3=5 109..168 | dt med 7.7 max 137.5 | btnMut 0 | settleTf none
K-chromium-390t-plain | #1 | D->L | flip+6 | half+124 out@half=0.9497 | land+360 | crest 1.0919@+538.39 (c-l 178) | ho 1@+1039 | born 0.0645 | dS 0.1 | transl 0 both 24 | given 4.65@101 u3=0  | user 1.31@117 u3=7 94..160 | dt med 7.9 max 24.4 | btnMut 0 | settleTf none
K-chromium-390t-plain | #2 | L->D | flip+5 | half+131 out@half=0.9497 | land+360 | crest 1.0919@+547 (c-l 187) | ho 1@+1049 | born 0.096 | dS 0.08 | transl 0 both 20 | given 4.12@147 u3=0  | user 1.42@131 u3=7 94..168 | dt med 7.9 max 22.5 | btnMut 0 | settleTf none
K-chromium-390t-plain | #3 | D->L | flip+6 | half+139 out@half=0.9427 | land+368 | crest 1.0919@+543.3 (c-l 175) | ho 1@+1047 | born 0.0935 | dS 0.08 | transl 0 both 22 | given 4.57@110 u3=0  | user 1.26@123 u3=7 102..176 | dt med 7.9 max 16.6 | btnMut 0 | settleTf none
K-webkit-1280-plain | #0 | L->D | flip+76 | half+147 out@half=0.9435 | land+774 | crest 1.0253@+774 (c-l 0) | ho 1@+1118 | born 0.3138 | dS 0.16 | transl 0 both 9 | given 4.8@147 u3=0  | user 1.25@147 u3=2 147..185 | dt med 17 max 416 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
