engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
chromium	1	dark-active	B	16	0.000	0.283	2.828	1.414	0.236	[2, 3]	1	[17, 15, 14]	1.584	16.182	31	0.298	0.250	0
chromium	1	dark-active	B	180	0.000	0.290	27.785	1.048	0.198	None	1	[17, 15, 14]	1.584	16.182	316	0.032	0.026	
chromium	1	dark-active	B	32	0.000	0.289	5.657	1.061	0.236	None	1	[17, 15, 14]	1.584	16.182	66	0.183	0.142	0.150
chromium	1	dark-active	B	48	0.000	0.289	8.000	1.061	0.211	None	1	[17, 15, 14]	1.584	16.182	86	0.113	0.094	
chromium	1	dark-active	P	16	0.000	0.222	2.000	2.000	0.167	[3, 4]	1	[17, 15, 14]	1.584	12.644	24	0.282	0.224	
chromium	1	dark-active	P	180	0.000	0.228	16.125	2.166	0.119	None	1	[17, 15, 14]	1.584	16.182	368	0.047	0.035	
chromium	1	dark-active	P	32	0.000	0.229	2.828	2.550	0.118	None	1	[17, 15, 14]	1.584	16.182	57	0.195	0.140	
chromium	1	dark-active	P	48	0.000	0.227	4.472	2.236	0.124	None	1	[17, 15, 14]	1.584	16.182	87	0.141	0.113	
chromium	1	dark-active	W	16	0.000	0.225	2.000	1.414	0.167	[3, 3]	1	[17, 15, 14]	1.584	14.826	28	0.326	0.233	0.150
chromium	1	dark-active	W	180	0.000	0.229	22.361	1.043	0.167	None	1	[17, 15, 14]	1.584	16.182	366	0.047	0.035	
chromium	1	dark-active	W	32	0.000	0.226	4.000	1.118	0.167	None	1	[17, 15, 14]	1.584	16.182	57	0.199	0.139	0.150
chromium	1	dark-active	W	48	0.000	0.227	6.000	1.202	0.167	None	1	[17, 15, 14]	1.584	16.182	79	0.130	0.099	
chromium	1	dark-active	fable	16	0.000	0.192	2.000	1.414	0.154	[2, 4]	1	[17, 15, 14]	1.584	14.491	22	0.297	0.257	0.150
chromium	1	dark-active	fable	180	0.000	0.194	22.361	1.073	0.157	None	1	[17, 15, 14]	1.584	16.182	253	0.038	0.029	
chromium	1	dark-active	fable	32	0.000	0.192	4.000	1.118	0.160	None	1	[17, 15, 14]	1.584	16.182	53	0.212	0.172	0.150
chromium	1	dark-active	fable	48	0.000	0.193	6.000	1.202	0.158	None	1	[17, 15, 14]	1.584	16.182	69	0.132	0.098	
chromium	1	dark-active	main	16	0.000	0.521	2.828	2.236	0.202	[2, 2]	2	[250, 248, 245]	11.384	16.077	50	0.289	0.202	0
chromium	1	dark-active	main	180	0.000	0.522	27.857	2.315	0.170	None	2	[250, 248, 245]	11.384	16.077	531	0.030	0.024	
chromium	1	dark-active	main	32	0.000	0.520	5.657	2.236	0.195	None	1	[250, 248, 245]	11.384	16.077	101	0.163	0.126	0
chromium	1	dark-active	main	48	0.000	0.522	8.000	2.151	0.182	None	1	[250, 248, 245]	11.384	16.077	138	0.104	0.080	
chromium	1	dark-active	opus	16	0.000	0.250	2.000	1.414	0.182	[2, 2]	1	[17, 15, 14]	1.584	15.317	28	0.301	0.226	0.150
