[dock-390x844-chromium-dark] fit new game:296/296 pencils:296/296 checking:296/296 players:296/296 FIT×4 | tabs 103.61x44,79.88x44,95.13x44,83.39x44 spend 374.01/374 | neg 1/1 | quiet 5.96 raised 15.84 dbl 3.37 ring 14.99 | hid 0/9 | I2 0 | edge0tap 3 | seam 292.06
[dock-390x844-chromium-light] fit new game:296/296 pencils:296/296 checking:296/296 players:296/296 FIT×4 | tabs 103.61x44,79.88x44,95.13x44,83.39x44 spend 374.01/374 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 18.83 | hid 0/9 | I2 0 | edge0tap 3 | seam 292.06
[dock-375x812-chromium-light] fit new game:296/296 pencils:296/296 checking:296/296 players:296/296 FIT×4 | tabs 99.5x44,76.42x44,91.25x44,79.83x44 spend 359/359 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 18.83 | hid 0/9 | I2 0 | edge0tap 3 | seam 268.56
[dock-430x932-chromium-light] fit new game:260/260 pencils:260/260 checking:260/260 players:260/260 FIT×4 | tabs 113.61x44,89.88x44,105.13x44,93.39x44 spend 414.01/414 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 19.56 | hid 0/9 | I2 0 | edge0tap 3 | seam 392.53
[land-900x500-chromium-light] fit new game:260/260 pencils:260/260 checking:260/260 players:260/260 FIT×4 | tabs 231.11x44,207.38x44,222.63x44,210.89x44 spend 884.01/884 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 19.68 | hid 0/9 | I2 0 | edge0tap 3 | seam 132.47
[land-844x390-chromium-light] fit new game:260/260 pencils:260/260 checking:260/260 players:260/260 FIT×4 | tabs 217.11x44,193.38x44,208.63x44,196.89x44 spend 828.01/828 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 19.34 | hid 0/9 | I2 0 | edge0tap 3 | seam -78.85
[desk-1280x800-chromium-light] fit new game:540/540 pencils:540/540 checking:540/540 players:540/540 keys:540/540 FIT×5 | tabs 48x102.28,48x78.55,48x93.8,48x82.06,48x54.73 spend 48/48 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 18.83 | hid 0/9 | I2 0 | edge0tap 0 | seam 57.14
[desk-1280x800-chromium-dark] fit new game:540/540 pencils:540/540 checking:540/540 players:540/540 keys:540/540 FIT×5 | tabs 48x102.28,48x78.55,48x93.8,48x82.06,48x54.73 spend 48/48 | neg 1/1 | quiet 6.41 raised 15.84 dbl 3.56 ring 14.99 | hid 0/9 | I2 0 | edge0tap 0 | seam 57.14
[desk-1440x900-chromium-light] fit new game:540/540 pencils:540/540 checking:540/540 players:540/540 keys:540/540 FIT×5 | tabs 48x102.28,48x78.55,48x93.8,48x82.06,48x54.73 spend 48/48 | neg 1/1 | quiet 5.16 raised 19.45 dbl 2.75 ring 18.83 | hid 0/9 | I2 0 | edge0tap 0 | seam 72.8
[dock-390x844-webkit-dark] fit new game:296/296 pencils:296/296 checking:296/296 players:296/296 FIT×4 | tabs 103.39x44,79.98x44,95.27x44,83.36x44 spend 374/374 | neg 1/1 | quiet 11.87 raised 15.84 dbl 5.99 ring 15.55 | hid 0/9 | I2 0 | edge0tap 3 | seam 292.2
[dock-390x844-webkit-light] fit new game:296/296 pencils:296/296 checking:296/296 players:296/296 FIT×4 | tabs 103.39x44,79.98x44,95.27x44,83.36x44 spend 374/374 | neg 1/1 | quiet 14.49 raised 19.45 dbl 5.16 ring 19.22 | hid 0/9 | I2 0 | edge0tap 3 | seam 292.2
