walk: chroma 0.11, step 137.5deg; reserved inks read from index.css: 29
  COLLISION peer index 0 (h=0) vs --color-solver-ink-1 #c2286e (h=359.0): 1deg < 12deg
  COLLISION peer index 1 (h=137.5) vs --color-crayon-green #2dc653 (h=147.0): 9.5deg < 12deg
  COLLISION peer index 1 (h=137.5) vs --color-green-ink #1d7f35 (h=147.2): 9.7deg < 12deg
  COLLISION peer index 1 (h=137.5) vs --color-crayon-green #3dd968 (h=148.3): 10.8deg < 12deg
  COLLISION peer index 3 (h=52.5) vs --color-orange-ink #a26009 (h=64.2): 11.7deg < 12deg
  COLLISION peer index 6 (h=105) vs --color-crayon-gold #e5c74d (h=95.2): 9.8deg < 12deg
  COLLISION peer index 6 (h=105) vs --color-solver-ink-5 #fde68a (h=95.7): 9.3deg < 12deg
  COLLISION peer index 7 (h=242.5) vs --color-crayon-blue #4a90d9 (h=251.4): 8.9deg < 12deg
  COLLISION peer index 7 (h=242.5) vs --color-focus-sketch #3a7bc4 (h=253.3): 10.8deg < 12deg
  COLLISION peer index 7 (h=242.5) vs --color-crayon-blue #6aabeb (h=249.3): 6.8deg < 12deg
  COLLISION peer index 7 (h=242.5) vs --color-solver-ink-3 #93c5fd (h=251.8): 9.3deg < 12deg
  COLLISION peer index 8 (h=20) vs --color-crayon-rose #e8315b (h=14.2): 5.8deg < 12deg
  COLLISION peer index 8 (h=20) vs --color-red-ink #d02a52 (h=13.6): 6.4deg < 12deg
  COLLISION peer index 8 (h=20) vs --color-crayon-rose #ff5c7c (h=12.2): 7.8deg < 12deg
  COLLISION peer index 9 (h=157.5) vs --color-crayon-green #2dc653 (h=147.0): 10.5deg < 12deg
  COLLISION peer index 9 (h=157.5) vs --color-green-ink #1d7f35 (h=147.2): 10.3deg < 12deg
  COLLISION peer index 9 (h=157.5) vs --color-solver-ink-4 #047857 (h=165.6): 8.1deg < 12deg
  COLLISION peer index 9 (h=157.5) vs --color-crayon-green #3dd968 (h=148.3): 9.2deg < 12deg
  COLLISION peer index 9 (h=157.5) vs --color-solver-ink-4 #6ee7b7 (h=165.0): 7.5deg < 12deg
  COLLISION peer index 10 (h=295) vs --color-solver-ink-2 #7c3aed (h=293.0): 2deg < 12deg
  COLLISION peer index 10 (h=295) vs --color-progress-ink #8b5cf6 (h=292.7): 2.3deg < 12deg
  COLLISION peer index 10 (h=295) vs --color-solver-ink-2 #c4b5fd (h=293.6): 1.4deg < 12deg
  COLLISION peer index 10 (h=295) vs --color-progress-ink #7c3aed (h=293.0): 2deg < 12deg
  COLLISION peer index 11 (h=72.5) vs --color-crayon-orange #f4a236 (h=68.7): 3.8deg < 12deg
  COLLISION peer index 11 (h=72.5) vs --color-crayon-gold #c99a2e (h=83.7): 11.2deg < 12deg
  COLLISION peer index 11 (h=72.5) vs --color-gold-ink #8c691d (h=82.4): 9.9deg < 12deg
  COLLISION peer index 11 (h=72.5) vs --color-orange-ink #a26009 (h=64.2): 8.3deg < 12deg
  COLLISION peer index 11 (h=72.5) vs --color-solver-ink-5 #92600a (h=72.7): 0.2deg < 12deg
  COLLISION peer index 11 (h=72.5) vs --color-crayon-orange #f5b35c (h=71.8): 0.7deg < 12deg
  COLLISION peer index 13 (h=347.5) vs --color-solver-ink-1 #c2286e (h=359.0): 11.5deg < 12deg
  COLLISION peer index 13 (h=347.5) vs --color-solver-ink-1 #f9a8d4 (h=346.0): 1.5deg < 12deg
  COLLISION peer index 15 (h=262.5) vs --color-user-ink #2563eb (h=262.9): 0.4deg < 12deg
  COLLISION peer index 15 (h=262.5) vs --color-crayon-blue #4a90d9 (h=251.4): 11.1deg < 12deg
  COLLISION peer index 15 (h=262.5) vs --color-solver-ink-3 #2059c8 (h=261.9): 0.6deg < 12deg
  COLLISION peer index 15 (h=262.5) vs --color-focus-sketch #3a7bc4 (h=253.3): 9.2deg < 12deg
  COLLISION peer index 15 (h=262.5) vs --color-user-ink #60a5fa (h=254.6): 7.9deg < 12deg
  COLLISION peer index 15 (h=262.5) vs --color-solver-ink-3 #93c5fd (h=251.8): 10.7deg < 12deg
RED — 37 collisions in the first 16 indices
