=== CONTROL: the WHOLE wheel, no family law at all (the ceiling any palette faces) ===
ONE PINNED BAND per theme (light L 0.545, dark L 0.780), chroma capped at the crayon mean 0.166.
  n | min hue gap | LIGHT min ΔE  worst AA | DARK min ΔE  worst AA | verdict at a ΔE 0.10 floor
   4|        90.0 | 0.149        4.54 | 0.178       8.77 | TELLS APART
   5|        71.8 | 0.130        4.50 | 0.146       8.66 | TELLS APART
   6|        60.0 | 0.111        4.46 | 0.134       8.65 | TELLS APART
   7|        51.3 | 0.099        4.49 | 0.110       8.78 | TOO CLOSE — two players read as one
   8|        45.0 | 0.077        4.50 | 0.105       8.75 | TOO CLOSE — two players read as one
   9|        39.8 | 0.067        4.46 | 0.087       8.66 | TOO CLOSE — two players read as one
  10|        35.5 | 0.061        4.43 | 0.076       8.69 | TOO CLOSE — two players read as one
  11|        32.3 | 0.058        4.46 | 0.069       8.72 | TOO CLOSE — two players read as one
  12|        29.5 | 0.050        4.44 | 0.064       8.68 | TOO CLOSE — two players read as one
  13|        27.0 | 0.050        4.46 | 0.056       8.65 | TOO CLOSE — two players read as one
  14|        25.5 | 0.044        4.43 | 0.053       8.71 | TOO CLOSE — two players read as one
  15|        23.3 | 0.041        4.44 | 0.049       8.71 | TOO CLOSE — two players read as one
  16|        22.5 | 0.038        4.45 | 0.045       8.65 | TOO CLOSE — two players read as one
