ONE PINNED BAND per theme (light L 0.545, dark L 0.780), chroma capped at the crayon mean 0.166.
  n | min hue gap | LIGHT min ΔE  worst AA | DARK min ΔE  worst AA | verdict at a ΔE 0.10 floor
   4|        89.9 | 0.168        4.57 | 0.193       8.88 | TELLS APART
   5|        59.0 | 0.144        4.55 | 0.145       8.71 | TELLS APART
   6|        51.4 | 0.091        4.50 | 0.113       8.71 | TOO CLOSE — two players read as one
   7|        29.8 | 0.050        4.50 | 0.068       8.71 | TOO CLOSE — two players read as one
   8|        28.3 | 0.050        4.50 | 0.068       8.71 | TOO CLOSE — two players read as one
   9|        25.8 | 0.050        4.50 | 0.062       8.71 | TOO CLOSE — two players read as one
  10|        25.8 | 0.050        4.49 | 0.062       8.71 | TOO CLOSE — two players read as one
  11|        19.8 | 0.033        4.49 | 0.047       8.71 | TOO CLOSE — two players read as one
  12|        14.8 | 0.024        4.49 | 0.034       8.71 | TOO CLOSE — two players read as one
  13|        14.0 | 0.024        4.49 | 0.034       8.71 | TOO CLOSE — two players read as one
  14|        12.8 | 0.024        4.49 | 0.028       8.71 | TOO CLOSE — two players read as one
  15|        12.8 | 0.024        4.49 | 0.028       8.71 | TOO CLOSE — two players read as one
  16|         8.8 | 0.021        4.49 | 0.026       8.71 | TOO CLOSE — two players read as one
