file	line	side	term	durations_ms	curve_name	curve_points	decl
web/frontend/src/App.vue	454	OLD	-	-	-	-	(added)
App.vue	454	NEW	0	-	(none)	(initial: ease)	those replay because the subtree was carried
App.vue	454	NEW	1	-	(none)	(initial: ease)	and they are what this walk
web/frontend/src/App.vue	454	UNPAIRED					
App.vue	1142	OLD	0	200	ease:glassGlide	cubic-bezier(0.32, 0.72, 0, 1)	opacity 200ms var(--ease-glassGlide)
App.vue	1142	NEW	0	200	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-breath) var(--verb-lift-ease)
assets/index.css	590	OLD	0	500	(none)	(initial: ease)	stroke 500ms
assets/index.css	590	NEW	0	520	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	stroke var(--rung-page) var(--verb-layDown-ease)
assets/index.css	607	OLD	0	500	(none)	(initial: ease)	box-shadow 500ms
assets/index.css	607	NEW	0	520	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	box-shadow var(--rung-page) var(--verb-layDown-ease)
games/futoshiki/CaretOverlay.vue	64	OLD	0	200	ease:fadeOut	cubic-bezier(0.32, 0, 0.67, 0)	opacity 200ms var(--ease-fadeOut)
games/futoshiki/CaretOverlay.vue	64	NEW	0	200	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-breath) var(--verb-lift-ease)
games/shared/DrawerTab.vue	144	OLD	0	150	kw:ease-out	cubic-bezier(0, 0, 0.58, 1)	transform 150ms ease-out
games/shared/DrawerTab.vue	144	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	transform var(--rung-touch) var(--verb-layDown-ease)
games/shared/GameBoard.vue	1265	OLD	0	200	ease:fadeOut	cubic-bezier(0.32, 0, 0.67, 0)	opacity 200ms var(--ease-fadeOut)
games/shared/GameBoard.vue	1265	NEW	0	200	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-breath) var(--verb-lift-ease)
games/shared/GameControlPanel.vue	1724	OLD	0	320	ease:glassGlide	cubic-bezier(0.32, 0.72, 0, 1)	player-row-open 320ms var(--ease-glassGlide) backwards
games/shared/GameControlPanel.vue	1724	NEW	0	280	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	player-row-open var(--rung-sheet) var(--verb-layDown-ease) backwards
games/shared/GameControlPanel.vue	1728	OLD	0	380|140	ease:drawOn	cubic-bezier(0.33, 1, 0.68, 1)	ink-write-in 380ms var(--ease-drawOn) 140ms backwards
games/shared/GameControlPanel.vue	1728	NEW	0	250|150	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in var(--rung-mark) var(--verb-writeIn-ease) var(--rung-touc
games/shared/GameControlPanel.vue	1735	OLD	0	280	ease:glassGlide	cubic-bezier(0.32, 0.72, 0, 1)	player-row-open 280ms var(--ease-glassGlide) backwards
games/shared/GameControlPanel.vue	1735	NEW	0	280	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	player-row-open var(--rung-sheet) var(--verb-layDown-ease) backwards
games/shared/GameControlPanel.vue	1739	OLD	0	320|120	ease:drawOn	cubic-bezier(0.33, 1, 0.68, 1)	ink-write-in 320ms var(--ease-drawOn) 120ms backwards
games/shared/GameControlPanel.vue	1739	NEW	0	250|150	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in var(--rung-mark) var(--verb-writeIn-ease) var(--rung-touc
games/shared/GameControlPanel.vue	1744	OLD	0	320|420	ease:glassGlide	cubic-bezier(0.32, 0.72, 0, 1)	player-row-close 320ms var(--ease-glassGlide) 420ms backwards
games/shared/GameControlPanel.vue	1744	NEW	0	250|440	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	player-row-close var(--rung-mark) var(--verb-lift-ease) var(--rung-ste
games/shared/GameControlPanel.vue	1749	OLD	0	260|260	ease:standard	cubic-bezier(0.4, 0, 0.2, 1)	player-name-quiet 260ms var(--ease-standard) 260ms backwards
games/shared/GameControlPanel.vue	1749	NEW	0	250	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	player-name-quiet var(--rung-mark) var(--verb-layDown-ease)
games/shared/GameControlPanel.vue	1810	OLD	0	150	ease:standard	cubic-bezier(0.4, 0, 0.2, 1)	color 150ms var(--ease-standard)
games/shared/GameControlPanel.vue	1810	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	color var(--rung-touch) var(--verb-layDown-ease)
games/shared/GameControlPanel.vue	2082	OLD	0	200	(none)	(initial: ease)	all 200ms
games/shared/GameControlPanel.vue	2082	NEW	0	-	(none)	(initial: ease)	
games/shared/GameControlPanel.vue	2132	OLD	0	150	(none)	(initial: ease)	opacity 150ms
games/shared/GameControlPanel.vue	2132	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	opacity var(--rung-touch) var(--verb-layDown-ease)
games/shared/GameControlPanel.vue	2452	OLD	0	500	kw:ease	cubic-bezier(0.25, 0.1, 0.25, 1)	sharePop 500ms ease
games/shared/GameControlPanel.vue	2452	NEW	0	520	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	sharePop var(--rung-page) var(--verb-layDown-ease)
games/shared/GameControlPanel.vue	2473	OLD	0	400	kw:ease	cubic-bezier(0.25, 0.1, 0.25, 1)	eraserScrub 400ms ease
games/shared/GameControlPanel.vue	2473	NEW	0	440	verb:slide	cubic-bezier(0.32, 0.72, 0, 1)	eraserScrub var(--rung-step) var(--verb-slide-ease)
games/shared/SolverErrorNote.vue	63	OLD	0	250	ease:noteWrite	cubic-bezier(0.22, 1, 0.36, 1)	note-in 250ms var(--ease-noteWrite) backwards
games/shared/SolverErrorNote.vue	63	NEW	0	250	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	note-in var(--rung-mark) var(--verb-writeIn-ease) backwards
games/shared/SolverErrorNote.vue	97	OLD	0	150	(none)	(initial: ease)	background 150ms
games/shared/SolverErrorNote.vue	97	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	background var(--rung-touch) var(--verb-layDown-ease)
games/shared/gameCell.css	35	OLD	0	250	kw:ease-out	cubic-bezier(0, 0, 0.58, 1)	marks-fade-in 250ms ease-out backwards
games/shared/gameCell.css	35	NEW	0	250	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	marks-fade-in var(--rung-mark) var(--verb-layDown-ease) backwards
games/shared/gameCell.css	154	OLD	0	250	kw:ease-out	cubic-bezier(0, 0, 0.58, 1)	marks-fade-in 250ms ease-out backwards
games/shared/gameCell.css	154	NEW	0	250	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	marks-fade-in var(--rung-mark) var(--verb-layDown-ease) backwards
games/shared/gameCell.css	239	OLD	0	180	ease:ghostDraw	cubic-bezier(0.215, 0.61, 0.355, 1)	ghost-draw-on 180ms var(--ease-ghostDraw) backwards
games/shared/gameCell.css	239	NEW	0	200	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ghost-draw-on var(--rung-breath) var(--verb-writeIn-ease) backwards
games/shared/gameCell.css	257	OLD	0	180	ease:ghostDraw	cubic-bezier(0.215, 0.61, 0.355, 1)	ghost-draw-on 180ms var(--ease-ghostDraw) backwards
games/shared/gameCell.css	257	NEW	0	200	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ghost-draw-on var(--rung-breath) var(--verb-writeIn-ease) backwards
games/shared/scene.css	378	OLD	0	150	(none)	(initial: ease)	opacity 150ms
games/shared/scene.css	378	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	opacity var(--rung-touch) var(--verb-layDown-ease)
games/shared/scene.css	612	OLD	0	250|150	ease:drawOn	cubic-bezier(0.33, 1, 0.68, 1)	controls-fade-in 250ms var(--ease-drawOn) 150ms backwards
games/shared/scene.css	612	NEW	0	250	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	controls-fade-in var(--rung-mark) var(--verb-writeIn-ease)
games/shared/scene.css	617	OLD	0	200	ease:fadeOut	cubic-bezier(0.32, 0, 0.67, 0)	opacity 200ms var(--ease-fadeOut)
games/shared/scene.css	617	NEW	0	200	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-breath) var(--verb-lift-ease)
games/shared/scene.css	629	OLD	0	200	ease:fadeOut	cubic-bezier(0.32, 0, 0.67, 0)	opacity 200ms var(--ease-fadeOut)
games/shared/scene.css	629	NEW	0	200	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-breath) var(--verb-lift-ease)
games/thermo/ThermoTube.vue	114	OLD	0	200	ease:fadeOut	cubic-bezier(0.32, 0, 0.67, 0)	opacity 200ms var(--ease-fadeOut)
games/thermo/ThermoTube.vue	114	NEW	0	200	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-breath) var(--verb-lift-ease)
pencil/celestial/DarkModeToggle.vue	717	OLD	0	200	kw:ease	cubic-bezier(0.25, 0.1, 0.25, 1)	transform 200ms ease
pencil/celestial/DarkModeToggle.vue	717	NEW	0	250	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	transform var(--rung-mark) var(--verb-layDown-ease)
pencil/celestial/DarkModeToggle.vue	774	OLD	0	100|240	ease:standard	cubic-bezier(0.4, 0, 0.2, 1)	opacity 100ms var(--ease-standard) 240ms !important
pencil/celestial/DarkModeToggle.vue	774	NEW	0	150|250	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	opacity var(--rung-touch) var(--verb-lift-ease) var(--rung-mark) !impo
pencil/celestial/DarkModeToggle.vue	780	OLD	0	300|60	ease:standard	cubic-bezier(0.4, 0, 0.2, 1)	opacity 300ms var(--ease-standard) 60ms !important
pencil/celestial/DarkModeToggle.vue	780	NEW	0	280|150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	opacity var(--rung-sheet) var(--verb-layDown-ease) var(--rung-touch) !
pencil/celestial/DarkModeToggle.vue	795	OLD	0	340	ease:accelIn	cubic-bezier(0.55, 0.055, 0.675, 0.19)	transform 340ms var(--ease-accelIn) !important
pencil/celestial/DarkModeToggle.vue	795	NEW	0	250	verb:lift	cubic-bezier(0.32, 0, 0.67, 0)	transform var(--rung-mark) var(--verb-lift-ease) !important
pencil/chrome/AttributionCard/CrayonHeart.vue	329	OLD	0	240	kw:ease	cubic-bezier(0.25, 0.1, 0.25, 1)	opacity 240ms ease
pencil/chrome/AttributionCard/CrayonHeart.vue	329	NEW	0	250	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	opacity var(--rung-mark) var(--verb-layDown-ease)
pencil/chrome/CompletionVignette.vue	133	OLD	0	250	ease:noteWrite	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in 250ms var(--ease-noteWrite) backwards
pencil/chrome/CompletionVignette.vue	133	NEW	0	250	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in var(--rung-mark) var(--verb-writeIn-ease) backwards
pencil/chrome/GameGallery/GameCard.vue	593	OLD	0	150	ease:standard	cubic-bezier(0.4, 0, 0.2, 1)	color 150ms var(--ease-standard)
pencil/chrome/GameGallery/GameCard.vue	593	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	color var(--rung-touch) var(--verb-layDown-ease)
pencil/chrome/GameGallery/GameGallery.vue	1320	OLD	0	200	ease:standard	cubic-bezier(0.4, 0, 0.2, 1)	background-color 200ms var(--ease-standard)
pencil/chrome/GameGallery/GameGallery.vue	1320	NEW	0	250	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	background-color var(--rung-mark) var(--verb-layDown-ease)
pencil/chrome/HandwrittenLogo/HandwrittenLogo.vue	647	OLD	0	200	ease:noteWrite	cubic-bezier(0.22, 1, 0.36, 1)	transform 200ms var(--ease-noteWrite)
pencil/chrome/HandwrittenLogo/HandwrittenLogo.vue	647	NEW	0	200	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	transform var(--rung-breath) var(--verb-writeIn-ease)
pencil/chrome/MarginNote.vue	149	OLD	0	250	ease:noteWrite	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in 250ms var(--ease-noteWrite) backwards
pencil/chrome/MarginNote.vue	149	NEW	0	250	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in var(--rung-mark) var(--verb-writeIn-ease) backwards
web/frontend/src/pencil/chrome/MarginNote.vue	150	OLD	-	-	-	-	(added)
pencil/chrome/MarginNote.vue	150	NEW	0	200	verb:rubOut	cubic-bezier(0.32, 0, 0.67, 0)	ink-rub-out var(--rung-breath) var(--verb-rubOut-ease) backwards
web/frontend/src/pencil/chrome/MarginNote.vue	150	UNPAIRED					
pencil/chrome/MarginNote.vue	180	OLD	0	250	ease:noteWrite	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in 250ms var(--ease-noteWrite) backwards
pencil/chrome/MarginNote.vue	180	NEW	0	250	verb:writeIn	cubic-bezier(0.22, 1, 0.36, 1)	ink-write-in var(--rung-mark) var(--verb-writeIn-ease) backwards
pencil/sheet/SheetWashiLabel.vue	109	OLD	0	150	(none)	(initial: ease)	opacity 150ms
pencil/sheet/SheetWashiLabel.vue	109	NEW	0	150	verb:layDown	cubic-bezier(0.32, 0.72, 0, 1)	opacity var(--rung-touch) var(--verb-layDown-ease)
