lane | node scripts/check-copy-register.mjs | EXIT 0 | 
lane | npm run -s lint:copy | EXIT 0 | 
lane | npm run -s lint:lanes | EXIT 0 | 
lane | npm run -s lint:theme-tokens | EXIT 0 | 
lane | npm run -s lint:theme-selectors | EXIT 0 | 
lane | npm run -s lint:sleep | EXIT 0 | 
lane | npm run -s lint:motion | EXIT 0 | 
lane | npm run -s lint:ink | EXIT 0 | 
lane | npm run -s test:e2e:projects | EXIT 0 | 
lane | node scripts/check-pw-projects.mjs | EXIT 0 | 
lane | npx eslint . | EXIT 0 | 
lane | npm run -s lint | EXIT 0 | 
ctl | node scripts/check-copy-register.mjs | EXIT 0 | 
ctl | npm run -s lint:copy | EXIT 0 | 
ctl | npm run -s lint:lanes | EXIT 0 | 
ctl | npm run -s lint:theme-tokens | EXIT 0 | 
ctl | npm run -s lint:theme-selectors | EXIT 0 | 
ctl | npm run -s lint:sleep | EXIT 0 | 
ctl | npm run -s lint:motion | EXIT 0 | 
ctl | npm run -s lint:ink | EXIT 0 | 
ctl | npm run -s test:e2e:projects | EXIT 0 | 
ctl | node scripts/check-pw-projects.mjs | EXIT 0 | 
ctl | npx eslint . | EXIT 0 | 
ctl | npm run -s lint | EXIT 0 | 
