lint:copy | tree 0 | control 0
lint:lanes | tree 0 | control 0
lint:theme-tokens | tree 0 | control 0
lint:theme-selectors | tree 0 | control 0
lint:sleep | tree 0 | control 0
lint:motion | tree 0 | control 0
lint:ink | tree 0 | control 0
lint:catch | tree 0 | control 0
lint:live-regions | tree 0 | control 0
test:e2e:projects | tree 1 | control 0
test:e2e:retries | tree 0 | control 0
test:support-floor | tree 0 | control 0
test:font-coverage | tree 0 | control 0
lint:face-engine | tree 0 | control 1
lint:boundary | tree 0 | control 0
eslint . | tree 0 | control 0
prettier --check | tree 0 | control 0
vue-tsc -b | tree 0 | control (not run: writes tsbuildinfo)
vue-tsc e2e | tree 0 | control 0
BATTERY-DONE
