
## chromium sudoku 1280x800-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     303.28                 | 503.19                 | 503.19
  lines    1+1                    | 3+3                    | 3+3
  tapeH2   14.72                  | 2.19                   | 2.19
  g3       466.14/595.64          | 633.27/595.64          | 633.27/595.64
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.57                  | 33.57
  clear    7.19                   | -81.15                 | -81.15
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.57/-81.15           | 33.57/-81.15
  card     324.22/129.89          | 324.22/129.89          | 324.22/129.89
  sw       318/318                | 318/318                | 318/318
  scrollH  793                    | 1142                   | 1142
  btn      60x72.8                | 71.19x72.8             | 71.19x72.8
  rowH     87.39                  | 120.17                 | 120.17
  wrapH    717                    | 1066                   | 1066
  givens                          |                        | 
  aa       4.66/4.9/4.9/5.24/4.66 | 18.88/4.9/4.9/5.24/4.66 | 18.88/4.9/4.9/5.24/4.66
  ctrlMin  42.56x38               | 130.52x38              | 130.52x38
  givens-equal true

## chromium sudoku 1024x768-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     302.64                 | 502.56                 | 502.56
  lines    1+1                    | 3+3                    | 3+3
  tapeH2   14.73                  | 2.21                   | 2.21
  g3       465.95/564.63          | 633.09/564.63          | 633.09/564.63
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.43                  | 33.43
  clear    7.19                   | -80.54                 | -80.54
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.43/-80.54           | 33.43/-80.54
  card     315.59/22.2            | 315.59/22.2            | 315.59/22.2
  sw       310/310                | 310/310                | 310/310
  scrollH  791                    | 1139                   | 1139
  btn      60x72.16               | 71.19x72.16            | 71.19x72.16
  rowH     86.75                  | 119.53                 | 119.53
  wrapH    715                    | 1063                   | 1063
  givens                          |                        | 
  aa       4.66/4.9/4.9/5.24/4.66 | 1/4.9/4.9/5.24/4.66    | 1/4.9/4.9/5.24/4.66
  ctrlMin  42.56x38               | 126.2x38               | 126.2x38
  givens-equal true

## chromium sudoku 1440x900-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     303.69                 | 503.61                 | 503.61
  lines    1+1                    | 3+3                    | 3+3
  tapeH2   14.72                  | 2.17                   | 2.17
  g3       500.27/661.02          | 667.41/661.02          | 667.41/661.02
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | 114.5                  | 114.5
  chipInk  0                      | 7                      | 7
  base     0                      | 33.69                  | 33.69
  clear    7.19                   | -81.54                 | -81.54
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.69/-81.54           | 33.69/-81.54
  card     330/191                | 330/191                | 330/191
  sw       324/324                | 324/324                | 324/324
  scrollH  794                    | 1144                   | 1144
  btn      60x73.2                | 71.19x73.2             | 71.19x73.2
  rowH     87.8                   | 120.58                 | 120.58
  wrapH    718                    | 1068                   | 1068
  givens                          |                        | 
  aa       4.66/4.9/4.9/5.24/4.66 | 3.1/4.9/4.9/5.24/4.66  | 3.1/4.9/4.9/5.24/4.66
  ctrlMin  42.56x38               | 133.41x38              | 133.41x38
  givens-equal true

## chromium sudoku 1280x800-coarse (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     411.25                 | 532.78                 | 532.78
  lines    2+2                    | 3+3                    | 3+3
  tapeH2   14.72                  | 2.19                   | 2.19
  g3       574.11/595.64          | 662.86/595.64          | 662.86/595.64
  g3b      pencils:under          | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 30.38                  | 30.38
  clear    7.19                   | -71.56                 | -71.56
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 30.38/-71.56           | 30.38/-71.56
  card     224/180                | 224/180                | 224/180
  sw       282/218                | 282/218                | 282/218
  scrollH  1059                   | 1303                   | 1303
  btn      60x66.39               | 52x66.39               | 52x66.39
  rowH     80.98                  | 113.77                 | 113.77
  wrapH    983                    | 1227                   | 1227
  givens                          |                        | 
  aa       4.66/4.9/4.9/5.24/4.66 | 1/4.9/4.9/5.24/4.66    | 1/4.9/4.9/5.24/4.66
  ctrlMin  47.05x44               | 80.41x44               | 80.41x44
  givens-equal true

## chromium sudoku 390x844-coarse (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     218.83                 | 241.73                 | 241.73
  lines    1+1+1+1                | 1+1+1+1                | 1+1+1+1
  tapeH2   —                      | —                      | —
  g3       449.64/739.23          | 439.77/739.23          | 439.77/739.23
  g3b      pencils:ok             | pencils:ok             | pencils:ok
  die      —                      | —                      | —
  chipInk  —                      | —                      | —
  base     0                      | 30.37                  | 30.37
  clear    7.19                   | -73.56                 | -73.56
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 30.37/-73.56           | 30.37/-73.56
  card     390/12                 | 390/12                 | 390/12
  sw       390/390                | 390/390                | 390/390
  scrollH  652                    | 699                    | 699
  btn      64x70.39               | 56x70.39               | 56x70.39
  rowH     84.98                  | 117.77                 | 117.77
  wrapH    628                    | 675                    | 675
  givens                          |                        | 
  aa       4.66/—/—/5.16/4.66     | 4.66/—/—/5.16/4.66     | 4.66/—/—/5.16/4.66
  ctrlMin  44x44                  | 48.02x44               | 48.02x44
  givens-equal true

## chromium futoshiki 1280x800-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     303.28                 | 548.38                 | 548.38
  lines    1+1                    | 4+3                    | 4+3
  tapeH2   14.72                  | 2.19                   | 2.19
  g3       466.14/595.64          | 678.45/595.64          | 678.45/595.64
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.58                  | 33.58
  clear    7.19                   | -81.15                 | -81.15
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.58/-81.15           | 33.58/-81.15
  card     324.22/129.89          | 324.22/129.89          | 324.22/129.89
  sw       318/318                | 318/318                | 318/318
  scrollH  793                    | 1187                   | 1187
  btn      60x72.8                | 71.19x72.8             | 71.19x72.8
  rowH     87.39                  | 120.17                 | 120.17
  wrapH    717                    | 1111                   | 1111
  givens                          |                        | 
  aa       4.66/4.98/4.98/5.24/4.66 | 1/4.98/4.98/5.24/4.66  | 1/4.98/4.98/5.24/4.66
  ctrlMin  42.56x38               | 130.52x38              | 130.52x38
  givens-equal true

## chromium futoshiki 1024x768-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     302.64                 | 547.75                 | 547.75
  lines    1+1                    | 4+3                    | 4+3
  tapeH2   14.73                  | 2.21                   | 2.21
  g3       465.95/564.63          | 678.28/564.63          | 678.28/564.63
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.42                  | 33.42
  clear    7.19                   | -80.54                 | -80.54
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.42/-80.54           | 33.42/-80.54
  card     315.59/22.2            | 315.59/22.2            | 315.59/22.2
  sw       310/310                | 310/310                | 310/310
  scrollH  791                    | 1184                   | 1184
  btn      60x72.16               | 71.19x72.16            | 71.19x72.16
  rowH     86.75                  | 119.53                 | 119.53
  wrapH    715                    | 1108                   | 1108
  givens                          |                        | 
  aa       4.66/4.98/4.98/5.24/4.66 | 1/4.98/4.98/5.24/4.66  | 1/4.98/4.98/5.24/4.66
  ctrlMin  42.56x38               | 126.2x38               | 126.2x38
  givens-equal true

## chromium futoshiki 1440x900-fine (light)  — proto | control 74a2b5d9 | mainhead 1e6cfbbf
  zone     303.69                 | 548.8                  | 548.8
  lines    1+1                    | 4+3                    | 4+3
  tapeH2   14.72                  | 2.17                   | 2.17
  g3       500.27/661.02          | 712.59/661.02          | 712.59/661.02
  g3b      pencils:ok             | pencils:under          | pencils:under
  die      1                      | —                      | —
  chipInk  0                      | —                      | —
  base     0                      | 33.69                  | 33.69
  clear    7.19                   | -81.54                 | -81.54
  cut      0                      | 0                      | 0
  armed    0/7.19                 | 33.69/-81.54           | 33.69/-81.54
  card     330/191                | 330/191                | 330/191
  sw       324/324                | 324/324                | 324/324
  scrollH  794                    | 1189                   | 1189
