chromium wring  SAME   after: transform | 0.34s | cubic-bezier(0.55, 0.055, 0.675, 0.19) | 0s
chromium bloom  SAME   after: transform | 0.8s | cubic-bezier(0.34, 1.56, 0.64, 1) | 0.06s
chromium rise   SAME   after: opacity | 0.3s | cubic-bezier(0.4, 0, 0.2, 1) | 0.06s
chromium out    SAME   after: opacity | 0.1s | cubic-bezier(0.4, 0, 0.2, 1) | 0.24s
chromium tuck   MOVED  after: scale, opacity | 0.15s, 0.1s | cubic-bezier(0.42, 0, 1, 1), cubic-bezier(0.42, 0, 1, 1) | 0s, 0s
                      control: scale, opacity | 0.15s, 0.1s | ease-in, ease-in | 0s, 0s
chromium star1  MOVED  after: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), cubic-bezier(0, 0, 0.58, 1) | 0.56s, 0.56s
                      control: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), ease-out | 0.56s, 0.56s
chromium star2  MOVED  after: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), cubic-bezier(0, 0, 0.58, 1) | 0.64s
                      control: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), ease-out | 0.64s
chromium star3  MOVED  after: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), cubic-bezier(0, 0, 0.58, 1) | 0.72s
                      control: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), ease-out | 0.72s
webkit wring  SAME   after: transform | 0.34s | cubic-bezier(0.55, 0.055, 0.675, 0.19) | 0s
webkit bloom  SAME   after: transform | 0.8s | cubic-bezier(0.34, 1.56, 0.64, 1) | 0.06s
webkit rise   SAME   after: opacity | 0.3s | cubic-bezier(0.4, 0, 0.2, 1) | 0.06s
webkit out    SAME   after: opacity | 0.1s | cubic-bezier(0.4, 0, 0.2, 1) | 0.24s
webkit tuck   MOVED  after: scale, opacity | 0.15s, 0.1s | cubic-bezier(0.42, 0, 1, 1), cubic-bezier(0.42, 0, 1, 1) | 0s, 0s
                      control: scale, opacity | 0.15s, 0.1s | ease-in, ease-in | 0s, 0s
webkit star1  MOVED  after: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), cubic-bezier(0, 0, 0.58, 1) | 0.56s, 0.56s
                      control: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), ease-out | 0.56s, 0.56s
webkit star2  MOVED  after: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), cubic-bezier(0, 0, 0.58, 1) | 0.64s
                      control: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), ease-out | 0.64s
webkit star3  MOVED  after: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), cubic-bezier(0, 0, 0.58, 1) | 0.72s
                      control: scale, opacity | 0.15s, 0.12s | cubic-bezier(0.68, -0.55, 0.265, 1.55), ease-out | 0.72s
