arm | regime | theme | ground | engine | coarse | boardPx | median | worst | frac<3 | sens90 worst (n<3) | sens70
A-alias-0.95 | desk-dpr1-fine | dark | FRAME | chromium | False | 640 | 3.989 | 2.404 | 0.35 | 3.501 (0/39) | 2.552 (11/39)
A-alias-0.95 | desk-dpr1-fine | dark | FRAME | webkit | False | 640 | 3.989 | 2.404 | 0.35 | 3.454 (0/39) | 2.586 (4/39)
A-alias-0.95 | desk-dpr1-fine | dark | paper | chromium | False | 640 | 3.989 | 3.989 | 0 | 3.468 (0/60) | 2.661 (16/60)
A-alias-0.95 | desk-dpr1-fine | dark | paper | webkit | False | 640 | 3.997 | 3.989 | 0 | 3.454 (0/60) | 2.556 (13/60)
A-alias-0.95 | desk-dpr1-fine | light | FRAME | chromium | False | 640 | 3.92 | 2.812 | 0.35 | 3.362 (0/39) | 2.527 (13/39)
A-alias-0.95 | desk-dpr1-fine | light | FRAME | webkit | False | 640 | 3.965 | 2.85 | 0.35 | 3.405 (0/39) | 2.497 (5/39)
A-alias-0.95 | desk-dpr1-fine | light | paper | chromium | False | 640 | 3.972 | 3.92 | 0 | 3.439 (0/60) | 2.5 (17/60)
A-alias-0.95 | desk-dpr1-fine | light | paper | webkit | False | 640 | 3.965 | 3.92 | 0 | 3.489 (0/60) | 2.474 (15/60)
A-alias-0.95 | desk-dpr2-fine | dark | FRAME | chromium | False | 640 | 3.989 | 2.436 | 0.333 | 3.461 (0/40) | 2.552 (12/40)
A-alias-0.95 | desk-dpr2-fine | dark | FRAME | webkit | False | 640 | 3.997 | 2.404 | 0.333 | 3.461 (0/40) | 2.586 (8/40)
A-alias-0.95 | desk-dpr2-fine | dark | paper | chromium | False | 640 | 3.989 | 3.989 | 0 | 3.501 (0/60) | 2.552 (7/60)
A-alias-0.95 | desk-dpr2-fine | dark | paper | webkit | False | 640 | 3.997 | 3.997 | 0 | 3.492 (0/60) | 2.556 (14/60)
A-alias-0.95 | desk-dpr2-fine | light | FRAME | chromium | False | 640 | 3.972 | 2.812 | 0.333 | 3.4 (0/40) | 2.5 (14/40)
A-alias-0.95 | desk-dpr2-fine | light | FRAME | webkit | False | 640 | 3.965 | 2.847 | 0.333 | 3.4 (0/39) | 2.5 (10/40)
A-alias-0.95 | desk-dpr2-fine | light | paper | chromium | False | 640 | 3.972 | 3.92 | 0 | 3.41 (0/60) | 2.5 (8/60)
A-alias-0.95 | desk-dpr2-fine | light | paper | webkit | False | 640 | 3.965 | 3.965 | 0 | 3.444 (0/60) | 2.523 (17/60)
A-alias-0.95 | desk-dpr3-fine | dark | FRAME | chromium | False | 640 | 3.989 | 2.436 | 0.35 | 3.501 (0/39) | 2.552 (7/39)
A-alias-0.95 | desk-dpr3-fine | dark | FRAME | webkit | False | 640 | 3.997 | 2.379 | 0.35 | 3.461 (0/39) | 2.6 (6/39)
A-alias-0.95 | desk-dpr3-fine | dark | paper | chromium | False | 640 | 3.989 | 3.989 | 0 | 3.461 (0/60) | 2.552 (14/60)
A-alias-0.95 | desk-dpr3-fine | dark | paper | webkit | False | 640 | 3.997 | 3.997 | 0 | 3.499 (0/60) | 2.625 (8/60)
A-alias-0.95 | desk-dpr3-fine | light | FRAME | chromium | False | 640 | 3.972 | 2.812 | 0.35 | 3.41 (0/39) | 2.527 (8/39)
