T9-W7 pass 3 · MRK-ABS R2 — matched-ordinate clearance, ring ink vs rule ink
worst = min over every sampled ordinate of every side of every cell, over all 4 poses.
'straight' = pass-2's model (rule at its nominal coordinate); 'wobbled' = the rule's real path.

### 4x4 · PROTO f=0.86 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell        31.307     12.899    0.0%  |    34.261     14.116
  peer            subgrid     27.583     11.364    0.0%  |    32.644     13.449
  peer            frame       16.121      6.642    0.0%  |    19.166      7.896
  hover           cell        30.923     12.740    0.0%  |    33.876     13.957
  hover           subgrid     27.198     11.206    0.0%  |    32.260     13.291
  hover           frame       15.736      6.483    0.0%  |    18.782      7.738
  focus           cell        30.154     12.423    0.0%  |    33.107     13.640
  focus           subgrid     26.429     10.889    0.0%  |    31.490     12.974
  focus           frame       14.967      6.166    0.0%  |    18.012      7.421
  invalid         cell        29.384     12.106    0.0%  |    32.338     13.323
  invalid         subgrid     25.660     10.572    0.0%  |    30.721     12.657
  invalid         frame       14.198      5.850    0.0%  |    17.243      7.104
  invalid+focus   cell        29.000     11.948    0.0%  |    31.953     13.165
  invalid+focus   subgrid     25.275     10.413    0.0%  |    30.336     12.499
  invalid+focus   frame       13.813      5.691    0.0%  |    16.858      6.946

### 4x4 · ALT   f=0.90 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell        27.461     11.314    0.0%  |    30.415     12.531
  peer            subgrid     23.551      9.703    0.0%  |    28.788     11.861
  peer            frame       12.334      5.082    0.0%  |    15.310      6.308
  hover           cell        27.077     11.156    0.0%  |    30.030     12.372
  hover           subgrid     23.167      9.545    0.0%  |    28.404     11.702
  hover           frame       11.950      4.923    0.0%  |    14.925      6.149
  focus           cell        26.307     10.839    0.0%  |    29.261     12.056
  focus           subgrid     22.397      9.228    0.0%  |    27.635     11.385
  focus           frame       11.180      4.606    0.0%  |    14.156      5.832
  invalid         cell        25.538     10.522    0.0%  |    28.492     11.739
  invalid         subgrid     21.628      8.911    0.0%  |    26.865     11.069
