tree | npm run lint:lanes | exit 0
tree | npm run lint:theme-tokens | exit 0
tree | npm run lint:sleep | exit 0
tree | npm run test:e2e:projects | exit 0
tree | node scripts/check-pw-projects.mjs | exit 0
tree | npx eslint . | exit 0
tree | npm run lint | exit 1
tree | npm run lint:copy | exit 0
tree | node scripts/check-copy-register.mjs | exit 0
tree | npm run lint:motion | exit 0
tree | npm run lint:ink | exit 0
tree | node scripts/check-ink-pressure.mjs | exit 0
tree | npm run lint:live-regions | exit 0
tree | npm run lint:theme-selectors | exit 0
tree | npm run lint:knip | exit 0
tree | npx vue-tsc --noEmit | exit 0
tree | npm run typecheck:e2e | exit 0
control74 | npm run lint:lanes | exit 0
control74 | npm run lint:theme-tokens | exit 0
control74 | npm run lint:sleep | exit 0
control74 | npm run test:e2e:projects | exit 0
control74 | node scripts/check-pw-projects.mjs | exit 0
control74 | npx eslint . | exit 0
control74 | npm run lint | exit 0
control74 | npm run lint:copy | exit 0
control74 | node scripts/check-copy-register.mjs | exit 0
control74 | npm run lint:motion | exit 0
control74 | npm run lint:ink | exit 0
control74 | node scripts/check-ink-pressure.mjs | exit 0
control74 | npm run lint:live-regions | exit 0
control74 | npm run lint:theme-selectors | exit 0
control74 | npm run lint:knip | exit 0
control74 | npx vue-tsc --noEmit | exit 0
control74 | npm run typecheck:e2e | exit 0
DONE
