control | lint:sleep | exit=0 | OK — no fixed-duration wait precedes a one-shot assertion on a live surface across 34 specs.
control | lint:lanes | exit=0 | OK — every .mjs in web/frontend/scripts and ./scripts is named by a CI lane, declares itself NOT-A-LANE with a cite, or is explicitly exempt with one;
control | lint:theme-tokens | exit=0 | check-theme-tokens: 0 unreferenced @theme tokens
control | test:e2e:projects | exit=0 | OK — 34 specs, 547 resolved tests, every spec in both engines except the 6 recorded holdouts, and every row live in both except the 2 engine-skipped a
control | check-pw-projects | exit=0 | OK — 34 specs, 547 resolved tests, every spec in both engines except the 6 recorded holdouts, and every row live in both except the 2 engine-skipped a
control | eslint . | exit=0 | 
control | prettier --check (lint) | exit=0 | All matched files use Prettier code style!
control | lint:copy | exit=0 | check-copy-register: 0 em/en dashes and 0 unadmitted jargon in product copy (0 admitted, each with its cure's seam)
control | check-copy-register bare | exit=0 | check-copy-register: 0 em/en dashes and 0 unadmitted jargon in product copy (0 admitted, each with its cure's seam)
control | test:font-coverage | exit=0 |     Patrick Hand · .washi-tag (compartment names) + the tapes: "teacher's"
control | lint:motion | exit=0 | OK — 34 specs, every one declaring its motion state, every `frozen` backed by the route that lands.
control | lint:live-regions | exit=0 | check-live-regions: 0 regions born speaking — every declared region takes its content as a mutation
control | lint:knip | exit=0 | 
control | lint:boundary | exit=0 | 
DONE
