chromium http://127.0.0.1:4237 16x16: headId 0/256 graftId 256/256 · resident clearance s7 2.373 s10 1.639 px · HEAD recipe s10 1.958 · graft-wander@f1 s10 -0.501 · resident max wander 5.4 u = 2.642 px (ghost 0.489 px/u, cell 39.75 px)
chromium http://127.0.0.1:4237 9x9: headId 0/81 graftId 81/81 · resident clearance s7 7.614 s10 6.88 px · HEAD recipe s10 5.382 · graft-wander@f1 s10 3.076 · resident max wander 5.399 u = 2.641 px (ghost 0.489 px/u, cell 70.656 px)
chromium http://127.0.0.1:4237 4x4: headId 0/16 graftId 16/16 · resident clearance s7 14.617 s10 14.141 px · HEAD recipe s10 9.826 · graft-wander@f1 s10 8.595 · resident max wander 5.379 u = 1.705 px (ghost 0.317 px/u, cell 103 px)
chromium http://127.0.0.1:4239 16x16: headId 256/256 graftId 0/256 · resident clearance s7 2.691 s10 1.958 px · HEAD recipe s10 1.958 · graft-wander@f1 s10 -0.501 · resident max wander 0.375 u = 0.183 px (ghost 0.489 px/u, cell 39.75 px)
chromium http://127.0.0.1:4239 9x9: headId 81/81 graftId 0/81 · resident clearance s7 6.116 s10 5.382 px · HEAD recipe s10 5.382 · graft-wander@f1 s10 3.076 · resident max wander 0.666 u = 0.326 px (ghost 0.489 px/u, cell 70.656 px)
chromium http://127.0.0.1:4239 4x4: headId 16/16 graftId 0/16 · resident clearance s7 10.302 s10 9.826 px · HEAD recipe s10 9.826 · graft-wander@f1 s10 8.595 · resident max wander 1.494 u = 0.474 px (ghost 0.317 px/u, cell 103 px)
webkit http://127.0.0.1:4237 16x16: headId 0/256 graftId 256/256 · resident clearance s7 2.373 s10 1.639 px · HEAD recipe s10 1.958 · graft-wander@f1 s10 -0.501 · resident max wander 5.4 u = 2.642 px (ghost 0.489 px/u, cell 39.75 px)
webkit http://127.0.0.1:4237 9x9: headId 0/81 graftId 81/81 · resident clearance s7 7.616 s10 6.882 px · HEAD recipe s10 5.383 · graft-wander@f1 s10 3.076 · resident max wander 5.399 u = 2.641 px (ghost 0.489 px/u, cell 70.656 px)
webkit http://127.0.0.1:4237 4x4: headId 0/16 graftId 16/16 · resident clearance s7 14.617 s10 14.141 px · HEAD recipe s10 9.826 · graft-wander@f1 s10 8.595 · resident max wander 5.379 u = 1.705 px (ghost 0.317 px/u, cell 103 px)
webkit http://127.0.0.1:4239 16x16: headId 256/256 graftId 0/256 · resident clearance s7 2.691 s10 1.958 px · HEAD recipe s10 1.958 · graft-wander@f1 s10 -0.501 · resident max wander 0.375 u = 0.183 px (ghost 0.489 px/u, cell 39.75 px)
webkit http://127.0.0.1:4239 9x9: headId 81/81 graftId 0/81 · resident clearance s7 6.116 s10 5.383 px · HEAD recipe s10 5.383 · graft-wander@f1 s10 3.076 · resident max wander 0.666 u = 0.326 px (ghost 0.489 px/u, cell 70.656 px)
webkit http://127.0.0.1:4239 4x4: headId 16/16 graftId 0/16 · resident clearance s7 10.302 s10 9.826 px · HEAD recipe s10 9.826 · graft-wander@f1 s10 8.595 · resident max wander 1.494 u = 0.474 px (ghost 0.317 px/u, cell 103 px)
EXIT 0
