light 0b0b c14 | 11.891 0.097 | 4.904 0.435 | +6.987

== chromium dpr3: theme slug cell | tree(b) median frac | arm(a) translucent median frac [min] | control median frac [min]
dark  002e c8  | 5.629 0.145 [5.604] | — | 5.991 0.140 [4.589]  b LOSES to ctl
dark  002e c11 | 5.629 0.145 [5.604] | — | 5.991 0.141 [4.589]  b LOSES to ctl
dark  002e c12 | 5.629 0.145 [5.604] | — | 5.991 0.145 [4.589]  b LOSES to ctl
dark  002e c14 | 5.629 0.144 [5.604] | — | 5.991 0.148 [4.589]  b LOSES to ctl
dark  0b0b c8  | 5.691 0.137 [5.691] | — | 5.899 0.137 [4.589]  b LOSES to ctl
dark  0b0b c11 | 5.691 0.137 [5.691] | 5.691 0.188 [4.359] | 5.991 0.134 [4.589]  b LOSES to ctl
dark  0b0b c12 | 5.691 0.137 [5.691] | — | 5.991 0.131 [4.589]  b LOSES to ctl
dark  0b0b c14 | 5.691 0.137 [5.691] | — | 5.991 0.135 [4.589]  b LOSES to ctl
light 002e c8  | 11.899 0.075 [11.793] | — | 5.025 0.309 [3.382]
light 002e c11 | 11.899 0.076 [11.793] | — | 5.067 0.297 [3.382]
light 002e c12 | 11.899 0.076 [11.793] | — | 5.067 0.327 [3.382]
light 002e c14 | 11.899 0.076 [11.793] | — | 5.067 0.354 [3.382]
light 0b0b c8  | 11.891 0.076 [11.891] | 11.891 0.085 [7.938] | 5.067 0.349 [3.382]
light 0b0b c11 | 11.891 0.076 [11.891] | 11.891 0.084 [7.938] | 5.067 0.303 [3.382]
light 0b0b c12 | 11.891 0.076 [11.891] | 11.891 0.083 [7.938] | 5.067 0.315 [3.382]
light 0b0b c14 | 11.891 0.076 [11.891] | 11.891 0.084 [7.938] | 5.067 0.337 [3.382]
== webkit dpr3: theme slug cell | tree(b) median frac | arm(a) translucent median frac [min] | control median frac [min]
dark  002e c8  | 5.691 0.085 [5.691] | — | 5.991 0.079 [4.594]  b LOSES to ctl
dark  002e c11 | 5.691 0.085 [5.691] | — | 5.991 0.086 [4.594]  b LOSES to ctl
dark  002e c12 | 5.691 0.085 [5.691] | — | 5.991 0.085 [4.594]  b LOSES to ctl
dark  002e c14 | 5.691 0.085 [5.691] | — | 5.991 0.083 [4.594]  b LOSES to ctl
dark  0b0b c8  | 5.691 0.073 [5.691] | — | 5.991 0.075 [4.594]  b LOSES to ctl
dark  0b0b c11 | 5.691 0.073 [5.691] | 5.691 0.125 [4.364] | 5.991 0.070 [4.594]  b LOSES to ctl
dark  0b0b c12 | 5.691 0.073 [5.691] | — | 5.991 0.071 [4.594]  b LOSES to ctl
dark  0b0b c14 | 5.691 0.073 [5.691] | — | 5.991 0.071 [4.594]  b LOSES to ctl
light 002e c8  | 11.891 0.031 [11.891] | — | 5.025 0.229 [3.418]
light 002e c11 | 11.891 0.031 [11.891] | — | 5.067 0.284 [3.418]
light 002e c12 | 11.891 0.031 [11.891] | — | 5.067 0.262 [3.418]
light 002e c14 | 11.891 0.031 [11.891] | — | 5.067 0.280 [3.418]
light 0b0b c8  | 11.891 0.028 [11.891] | 11.793 0.031 [8.021] | 5.054 0.298 [3.418]
light 0b0b c11 | 11.891 0.028 [11.891] | 11.891 0.030 [8.021] | 5.067 0.245 [3.418]
light 0b0b c12 | 11.891 0.028 [11.891] | 11.891 0.030 [8.021] | 5.067 0.217 [3.418]
light 0b0b c14 | 11.891 0.028 [11.891] | 11.891 0.031 [8.021] | 5.067 0.257 [3.418]
