row                                tree   control
lint:bands                            0         1
lint:verbs                            0         1
lint:motion                           0         0
lint:copy                             0         0
lint:lanes                            0         0
lint:theme-tokens                     0         0
lint:sleep                            0         0
test:e2e:projects                     0         0
check-pw-projects (bare)              0         0
eslint .                              0         0
npm run lint (scoped prettier)        0         0
lint:knip                             0         0
done
