engine dpr arm theme cell | L left worst | L whole under/240 (unpainted) | L sides worst/under | H core med / worst / under incl dropped | H 2nd-photo worst | H sens 90% (worst, under incl dropped/60, n counted) | H sens 70%
chromium 1 A    light frame | 2.812 | 78/240 (0) | T 2.812/9 R 3.92/0 B 2.812/9 L 2.812/60 | 3.972 / 1.353 / 20/60 | 1.353 | 3.449 20/60 (n40) | 2.527 39/60 (n40)
chromium 1 A    light paper | 3.972 | 0/240 (0) | T 3.972/0 R 3.92/0 B 3.92/0 L 3.972/0 | 3.972 / 3.92 / 0/60 | 3.92 | 3.4 0/60 (n60) | 2.527 17/60 (n60)
chromium 1 A    dark  frame | 2.404 | 78/240 (0) | T 2.436/9 R 3.989/0 B 2.404/9 L 2.404/60 | 3.989 / 1.206 / 20/60 | 1.19 | 3.501 20/60 (n40) | 2.552 38/60 (n40)
chromium 1 A    dark  paper | 3.989 | 0/240 (0) | T 3.989/0 R 3.989/0 B 3.989/0 L 3.989/0 | 3.989 / 3.989 / 0/60 | 3.989 | 3.461 0/60 (n60) | 2.552 16/60 (n60)
chromium 1 B    light frame | 3.334 | 0/240 (0) | T 3.334/0 R 3.326/0 B 3.326/0 L 3.334/0 | 3.368 / 1.622 / 1/60 | 1.601 | 2.978 21/60 (n40) | 2.283 24/60 (n59)
chromium 1 B    light paper | 3.368 | 0/240 (0) | T 3.368/0 R 3.326/0 B 3.326/0 L 3.368/0 | 3.368 / 3.326 / 0/60 | 3.326 | 2.937 2/60 (n60) | 2.283 27/60 (n60)
chromium 1 B    dark  frame | 3.088 | 0/240 (0) | T 3.084/0 R 3.084/0 B 3.084/0 L 3.088/0 | 3.084 / 1.554 / 1/60 | 1.532 | 2.733 13/60 (n59) | 2.1 40/60 (n59)
chromium 1 B    dark  paper | 3.084 | 0/240 (0) | T 3.084/0 R 3.084/0 B 3.084/0 L 3.084/0 | 3.084 / 3.084 / 0/60 | 3.084 | 2.728 10/60 (n60) | 2.156 34/60 (n60)
chromium 1 C    light frame | 3.569 | 0/240 (0) | T 3.569/0 R 3.581/0 B 3.569/0 L 3.569/0 | 3.581 / 1.648 / 1/60 | 1.648 | 3.199 20/60 (n40) | 2.369 22/60 (n59)
chromium 1 C    light paper | 3.581 | 0/240 (0) | T 3.581/0 R 3.581/0 B 3.581/0 L 3.581/0 | 3.581 / 3.581 / 0/60 | 3.581 | 3.159 0/60 (n60) | 2.39 21/60 (n60)
chromium 1 C    dark  frame | 3.303 | 0/240 (0) | T 3.28/0 R 3.28/0 B 3.28/0 L 3.303/0 | 3.28 / 1.57 / 1/60 | 1.57 | 2.915 4/60 (n59) | 2.203 35/60 (n59)
chromium 1 C    dark  paper | 3.28 | 0/240 (0) | T 3.28/0 R 3.28/0 B 3.28/0 L 3.28/0 | 3.28 / 3.28 / 0/60 | 3.28 | 2.905 5/60 (n60) | 2.203 30/60 (n60)
chromium 1 HEAD light frame | 2.69 | 45/240 (0) | T 2.693/12 R 3.679/0 B 2.693/12 L 2.69/21 | 3.679 / 2.693 / 7/60 | 2.693 | 3.236 12/60 (n48) | 2.617 28/60 (n54)
chromium 1 HEAD light paper | 3.679 | 0/240 (0) | T 3.679/0 R 3.679/0 B 3.626/0 L 3.679/0 | 3.679 / 3.626 / 0/60 | 3.626 | 3.16 0/60 (n60) | 2.617 2/60 (n60)
chromium 1 HEAD dark  frame | 2.32 | 45/240 (0) | T 2.32/12 R 3.763/0 B 2.309/12 L 2.32/21 | 3.763 / 2.32 / 7/60 | 2.32 | 3.351 10/60 (n50) | 2.631 25/60 (n54)
