LAW39 lane-p5geom    reduce chromi light               drawn ring             run1 n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
LAW39 lane-p5geom    reduce chromi light               drawn ring             run2 n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
LAW39 lane-p5geom    reduce chromi dark                drawn ring             run1 n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.426 45/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
LAW39 lane-p5geom    reduce chromi dark                drawn ring             run2 n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.426 45/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
LAW39 lane-p5geom    reduce webkit light               drawn ring             run1 n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.952 37/60 | 70% 2.584 17/60 | 90% 3.587 10/60 | 100% 4.188 14/60
LAW39 lane-p5geom    reduce webkit light               drawn ring             run2 n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.952 37/60 | 70% 2.584 17/60 | 90% 3.587 10/60 | 100% 4.188 14/60
LAW39 lane-p5geom    reduce webkit dark                drawn ring             run1 n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.444 41/60 | 70% 2.453 15/60 | 90% 3.689 9/60 | 100% 4.286 14/60
LAW39 lane-p5geom    reduce webkit dark                drawn ring             run2 n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.444 41/60 | 70% 2.453 15/60 | 90% 3.689 9/60 | 100% 4.286 14/60
LAW39 control-dist   reduce chromi light               dashed 2px rgb(10, 10, run1 n=23/60 med=10.898 worst=1.674 p30=5.559 frac=0.087 fracAll=0.65 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
LAW39 control-dist   reduce chromi light               dashed 2px rgb(10, 10, run2 n=23/60 med=10.898 worst=1.674 p30=5.559 frac=0.087 fracAll=0.65 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
LAW39 control-dist   reduce chromi dark                dashed 2px rgb(237, 23 run1 n=23/60 med=8.29 worst=1.705 p30=3.729 frac=0.217 fracAll=0.7 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
LAW39 control-dist   reduce chromi dark                dashed 2px rgb(237, 23 run2 n=23/60 med=8.29 worst=1.705 p30=3.729 frac=0.217 fracAll=0.7 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
LAW39 control-dist   reduce webkit light               dashed 2px rgb(10, 10, run1 n=20/60 med=14.846 worst=3.606 p30=8.916 frac=0 fracAll=0.667 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
LAW39 control-dist   reduce webkit light               dashed 2px rgb(10, 10, run2 n=20/60 med=14.846 worst=3.606 p30=8.916 frac=0 fracAll=0.667 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
