ROW   lane-graft     no-pre chromi light 0.95 #3a7bc4  FRAME                  run n=60/60 med=3.972 worst=1.355 p30=2.812 frac=0.333 fracAll=0.333 vsIn med=3.619 worst=1.04 ring=True d=1.732 | 50% 1.87 48/60 | 70% 2.527 38/60 | 90% 3.449 20/60 | 100% 3.972 30/60
ROW   lane-graft     no-pre chromi light 0.95 #3a7bc4  paper                  run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.273 ring=True d=1.732 | 50% 1.87 34/60 | 70% 2.527 17/60 | 90% 3.4 0/60 | 100% 3.972 10/60
ROW   lane-graft     no-pre chromi light 0.95 #4589d2  FRAME                  run n=60/60 med=3.368 worst=1.601 p30=3.334 frac=0.017 fracAll=0.017 vsIn med=3.091 worst=1.008 ring=True d=1.732 | 50% 1.574 41/60 | 70% 2.283 24/60 | 90% 2.978 21/60 | 100% 3.368 30/60
ROW   lane-graft     no-pre chromi light 0.95 #4589d2  paper                  run n=60/60 med=3.368 worst=3.326 p30=3.368 frac=0 fracAll=0 vsIn med=3.091 worst=1.233 ring=True d=1.732 | 50% 1.747 39/60 | 70% 2.283 27/60 | 90% 2.937 2/60 | 100% 3.368 10/60
ROW   lane-graft     no-pre chromi light 1    #3a7bc4  FRAME                  run n=60/60 med=4.289 worst=1.35 p30=2.98 frac=0.333 fracAll=0.333 vsIn med=3.908 worst=1.245 ring=True d=0 | 50% 1.95 47/60 | 70% 2.653 33/60 | 90% 3.765 20/60 | 100% 4.289 20/60
ROW   lane-graft     no-pre chromi light 1    #3a7bc4  paper                  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=3.908 worst=1.41 ring=True d=0 | 50% 1.936 32/60 | 70% 2.677 14/60 | 90% 3.716 0/60 | 100% 4.289 0/60
ROW   lane-graft     no-pre chromi light 1    #4589d2  FRAME                  run n=60/60 med=3.581 worst=1.648 p30=3.569 frac=0.017 fracAll=0.017 vsIn med=3.286 worst=1.283 ring=True d=0 | 50% 1.599 38/60 | 70% 2.369 22/60 | 90% 3.199 20/60 | 100% 3.581 20/60
ROW   lane-graft     no-pre chromi light 1    #4589d2  paper                  run n=60/60 med=3.581 worst=3.581 p30=3.581 frac=0 fracAll=0 vsIn med=3.286 worst=1.34 ring=True d=0 | 50% 1.786 36/60 | 70% 2.39 21/60 | 90% 3.159 0/60 | 100% 3.581 0/60
ROW   lane-graft     no-pre chromi dark  0.95 #3a7bc4  FRAME                  run n=60/60 med=3.989 worst=1.1 p30=2.436 frac=0.333 fracAll=0.333 vsIn med=3.691 worst=1.11 ring=True d=0 | 50% 1.275 46/60 | 70% 2.552 37/60 | 90% 3.501 20/60 | 100% 3.989 20/60
ROW   lane-graft     no-pre chromi dark  0.95 #3a7bc4  paper                  run n=60/60 med=3.989 worst=3.989 p30=3.989 frac=0 fracAll=0 vsIn med=3.691 worst=1.361 ring=True d=0 | 50% 1.872 31/60 | 70% 2.552 16/60 | 90% 3.461 0/60 | 100% 3.989 0/60
ROW   lane-graft     no-pre chromi dark  0.95 #2f68aa  FRAME                  run n=60/60 med=3.084 worst=1.908 p30=3.084 frac=0.017 fracAll=0.017 vsIn med=2.906 worst=1.4 ring=True d=0 | 50% 1.155 47/60 | 70% 2.1 40/60 | 90% 2.733 13/60 | 100% 3.084 10/60
