ROW   lane-p5geom    no-pre chromi light 0.95 #3a7bc4  FRAME                  run n=60/60 med=3.972 worst=2.812 p30=3.92 frac=0.1 fracAll=0.1 vsIn med=3.619 worst=1.848 ring=True d=1.732 | 50% 1.979 58/60 | 70% 2.748 13/60 | 90% 3.489 14/60 | 100% 3.972 22/60
ROW   lane-p5geom    no-pre chromi light 0.95 #3a7bc4  paper                  run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=2.007 ring=True d=1.732 | 50% 1.918 22/60 | 70% 2.787 2/60 | 90% 3.4 0/60 | 100% 3.972 2/60
ROW   lane-p5geom    no-pre chromi light 0.95 #4589d2  FRAME                  run n=60/60 med=3.368 worst=2.695 p30=3.334 frac=0.1 fracAll=0.1 vsIn med=3.091 worst=1.728 ring=True d=1.732 | 50% 1.568 53/60 | 70% 2.452 39/60 | 90% 3.006 21/60 | 100% 3.368 22/60
ROW   lane-p5geom    no-pre chromi light 0.95 #4589d2  paper                  run n=60/60 med=3.368 worst=3.326 p30=3.368 frac=0 fracAll=0 vsIn med=3.091 worst=1.831 ring=True d=1.732 | 50% 1.786 22/60 | 70% 2.481 4/60 | 90% 2.937 2/60 | 100% 3.368 2/60
ROW   lane-p5geom    no-pre chromi light 1    #3a7bc4  FRAME                  run n=60/60 med=4.289 worst=2.98 p30=4.289 frac=0.1 fracAll=0.1 vsIn med=3.908 worst=1.686 ring=True d=0 | 50% 2.068 58/60 | 70% 2.893 9/60 | 90% 3.819 10/60 | 100% 4.289 13/60
ROW   lane-p5geom    no-pre chromi light 1    #3a7bc4  paper                  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=2.899 worst=1.698 ring=True d=0 | 50% 1.933 24/60 | 70% 2.934 1/60 | 90% 3.716 0/60 | 100% 4.289 0/60
ROW   lane-p5geom    no-pre chromi light 1    #4589d2  FRAME                  run n=60/60 med=3.581 worst=2.918 p30=3.569 frac=0.05 fracAll=0.05 vsIn med=3.286 worst=1.799 ring=True d=0 | 50% 1.604 52/60 | 70% 2.572 34/60 | 90% 3.091 21/60 | 100% 3.581 21/60
ROW   lane-p5geom    no-pre chromi light 1    #4589d2  paper                  run n=60/60 med=3.581 worst=3.581 p30=3.581 frac=0 fracAll=0 vsIn med=2.515 worst=1.569 ring=True d=0 | 50% 1.786 24/60 | 70% 2.599 2/60 | 90% 3.159 0/60 | 100% 3.581 0/60
ROW   lane-p5geom    no-pre chromi dark  0.95 #3a7bc4  FRAME                  run n=60/60 med=3.989 worst=2.436 p30=3.989 frac=0.1 fracAll=0.1 vsIn med=3.691 worst=1.676 ring=True d=0 | 50% 1.369 58/60 | 70% 2.801 12/60 | 90% 3.558 11/60 | 100% 3.989 15/60
ROW   lane-p5geom    no-pre chromi dark  0.95 #3a7bc4  paper                  run n=60/60 med=3.989 worst=3.989 p30=3.989 frac=0 fracAll=0 vsIn med=2.834 worst=1.643 ring=True d=0 | 50% 1.898 22/60 | 70% 2.838 2/60 | 90% 3.461 0/60 | 100% 3.989 0/60
ROW   lane-p5geom    no-pre chromi dark  0.95 #2f68aa  FRAME                  run n=60/60 med=3.084 worst=3.084 p30=3.084 frac=0 fracAll=0 vsIn med=2.906 worst=1.742 ring=True d=0 | 50% 1.133 54/60 | 70% 2.268 45/60 | 90% 2.777 10/60 | 100% 3.084 0/60
ROW   lane-p5geom    no-pre chromi dark  0.95 #2f68aa  paper                  run n=60/60 med=3.084 worst=3.084 p30=3.084 frac=0 fracAll=0 vsIn med=2.347 worst=1.521 ring=True d=0 | 50% 1.644 24/60 | 70% 2.299 10/60 | 90% 2.728 8/60 | 100% 3.084 0/60
ROW   lane-p5geom    no-pre chromi dark  0.95 #306cb0  FRAME                  run n=60/60 med=3.231 worst=2.992 p30=3.231 frac=0.2 fracAll=0.2 vsIn med=3.042 worst=1.708 ring=True d=1 | 50% 1.112 58/60 | 70% 2.371 48/60 | 90% 2.911 22/60 | 100% 3.231 15/60
ROW   lane-p5geom    no-pre chromi dark  0.95 #306cb0  paper                  run n=60/60 med=3.231 worst=3.231 p30=3.231 frac=0 fracAll=0 vsIn med=2.449 worst=1.545 ring=True d=1 | 50% 1.687 22/60 | 70% 2.381 6/60 | 90% 2.865 3/60 | 100% 3.231 0/60
