chromium light tree marks:H2.rp-name Fraunces rgb(115, 115, 115) med 4.659 frac<4.5 0.202 pop 3331 | checking:H2.rp-name Fraunces rgb(115, 115, 115) med 4.659 frac<4.5 0.198 pop 5151 | clear:SPAN.icon-sublabel "Patrick Hand" rgb(115, 115, 115) med 4.4 frac<4.5 0.501 pop 467 RED G2 core median 4.400 < 4.5 | corner:BUTTON.ctrl-btn "Fira Code" rgb(115, 115, 115) med 4.659 frac<4.5 0.38 pop 1432
chromium light control marks:SPAN.zone-row-label "Patrick Hand" color(srgb 0.14902 0.14902 0.14902 / 0.68) med 4.4 frac<4.5 0.501 pop 585 RED G2 core median 4.400 < 4.5 | checking:SPAN.washi-label "Patrick Hand" rgb(10, 10, 10) med 6.048 frac<4.5 0.455 pop 1066 | clear:SPAN.icon-sublabel "Patrick Hand" rgb(115, 115, 115) med 4.527 frac<4.5 0.478 pop 490 RED G4 slice core (p95) under 3.00 (= max(3.0, 0.4×whole p95 4.66)) at 12:2.28 | corner:BUTTON.ctrl-btn "Fira Code" rgb(115, 115, 115) med 4.659 frac<4.5 0.389 pop 1435
chromium light s10 marks:SPAN.zone-row-label Fraunces rgb(10, 10, 10) med 19.451 frac<4.5 0.119 pop 3342 | checking:SPAN.washi-label Fraunces rgb(10, 10, 10) med 17.362 frac<4.5 0.21 pop 5536 | clear:SPAN.icon-sublabel "Patrick Hand" rgb(115, 115, 115) med 4.42 frac<4.5 0.518 pop 490 RED G2 core median 4.420 < 4.5; G4 slice core (p95) under 3.00 (= max(3.0, 0.4×whole p95 4.55)) at 12:2.25 | corner:SPAN.ctrl-word "Patrick Hand" rgb(115, 115, 115) med 4.659 frac<4.5 0.373 pop 1063
chromium dark tree marks:H2.rp-name Fraunces rgb(168, 166, 159) med 7.681 frac<4.5 0.117 pop 3338 | checking:H2.rp-name Fraunces rgb(168, 166, 159) med 7.681 frac<4.5 0.126 pop 5165 | clear:SPAN.icon-sublabel "Patrick Hand" rgb(168, 166, 159) med 7.412 frac<4.5 0.276 pop 471 | corner:BUTTON.ctrl-btn "Fira Code" rgb(168, 166, 159) med 7.681 frac<4.5 0.245 pop 1434
chromium dark control marks:SPAN.zone-row-label "Patrick Hand" color(srgb 0.819608 0.811765 0.780392 / 0.68) med 5.786 frac<4.5 0.363 pop 597 | checking:SPAN.washi-label "Patrick Hand" rgb(237, 236, 233) med 6.063 frac<4.5 0.403 pop 1088 | clear:SPAN.icon-sublabel "Patrick Hand" rgb(168, 166, 159) med 7.501 frac<4.5 0.345 pop 495 | corner:BUTTON.ctrl-btn "Fira Code" rgb(168, 166, 159) med 7.681 frac<4.5 0.249 pop 1442
chromium dark s10 marks:SPAN.zone-row-label Fraunces rgb(237, 236, 233) med 15.839 frac<4.5 0.07 pop 3355 | checking:SPAN.washi-label Fraunces rgb(237, 236, 233) med 9.122 frac<4.5 0.186 pop 5564 | clear:SPAN.icon-sublabel "Patrick Hand" rgb(168, 166, 159) med 7.664 frac<4.5 0.348 pop 497 | corner:SPAN.ctrl-word "Patrick Hand" rgb(168, 166, 159) med 7.681 frac<4.5 0.24 pop 1066
webkit light tree marks:H2.rp-name Fraunces rgb(115, 115, 115) med 4.659 frac<4.5 0.219 pop 3367 | checking:H2.rp-name Fraunces rgb(115, 115, 115) med 4.659 frac<4.5 0.225 pop 5201 | clear:SPAN.icon-sublabel Patrick Hand rgb(115, 115, 115) med 4.4 frac<4.5 0.514 pop 508 RED G2 core median 4.400 < 4.5; G4 slice core (p95) under 3.00 (= max(3.0, 0.4×whole p95 4.66)) at 12:2.42 | corner:BUTTON.ctrl-btn Fira Code rgb(115, 115, 115) med 4.659 frac<4.5 0.407 pop 1549
webkit light control marks:SPAN.zone-row-label Patrick Hand color(srgb 0.14902 0.14902 0.14902 / 0.68) med 4.338 frac<4.5 0.51 pop 575 RED G2 core median 4.338 < 4.5 | checking:SPAN.washi-label Patrick Hand rgb(10, 10, 10) med 11.956 frac<4.5 0.333 pop 901 RED G4 slice core (p95) under 6.94 (= max(3.0, 0.4×whole p95 17.36)) at 11:5.77 | clear:SPAN.icon-sublabel Patrick Hand rgb(115, 115, 115) med 4.159 frac<4.5 0.528 pop 504 RED G2 core median 4.159 < 4.5 | corner:BUTTON.ctrl-btn Fira Code rgb(115, 115, 115) med 4.659 frac<4.5 0.407 pop 1549
webkit light s10 marks:SPAN.zone-row-label Fraunces rgb(10, 10, 10) med 19.451 frac<4.5 0.136 pop 3392 | checking:SPAN.washi-label Fraunces rgb(10, 10, 10) med 17.362 frac<4.5 0.139 pop 5121 | clear:SPAN.icon-sublabel Patrick Hand rgb(115, 115, 115) med 4.06 frac<4.5 0.548 pop 504 RED G2 core median 4.060 < 4.5 | corner:SPAN.ctrl-word Patrick Hand rgb(115, 115, 115) med 4.659 frac<4.5 0.397 pop 1107
webkit dark tree marks:H2.rp-name Fraunces rgb(168, 166, 159) med 7.681 frac<4.5 0.16 pop 3363 | checking:H2.rp-name Fraunces rgb(168, 166, 159) med 7.681 frac<4.5 0.157 pop 5192 | clear:SPAN.icon-sublabel Patrick Hand rgb(168, 166, 159) med 7.412 frac<4.5 0.37 pop 525 | corner:BUTTON.ctrl-btn Fira Code rgb(168, 166, 159) med 7.681 frac<4.5 0.283 pop 1543
webkit dark control marks:SPAN.zone-row-label Patrick Hand color(srgb 0.819608 0.811765 0.780392 / 0.68) med 5.638 frac<4.5 0.424 pop 628 | checking:SPAN.washi-label Patrick Hand rgb(237, 236, 233) med 7.098 frac<4.5 0.314 pop 970 | clear:SPAN.icon-sublabel Patrick Hand rgb(168, 166, 159) med 7.324 frac<4.5 0.354 pop 523 RED G4 slice core (p95) under 3.07 (= max(3.0, 0.4×whole p95 7.68)) at 12:2.8 | corner:BUTTON.ctrl-btn Fira Code rgb(168, 166, 159) med 7.681 frac<4.5 0.283 pop 1543
webkit dark s10 marks:SPAN.zone-row-label Fraunces rgb(237, 236, 233) med 15.839 frac<4.5 0.115 pop 3377 | checking:SPAN.washi-label Fraunces rgb(237, 236, 233) med 9.122 frac<4.5 0.15 pop 5096 | clear:SPAN.icon-sublabel Patrick Hand rgb(168, 166, 159) med 7.483 frac<4.5 0.348 pop 523 RED G4 slice core (p95) under 3.14 (= max(3.0, 0.4×whole p95 7.85)) at 12:2.78 | corner:SPAN.ctrl-word Patrick Hand rgb(168, 166, 159) med 7.681 frac<4.5 0.284 pop 1105
