tree2 | npm run -s lint:lanes | exit=2
tree2 | npm run -s lint:theme-tokens | exit=0
tree2 | npm run -s lint:sleep | exit=0
tree2 | npm run -s lint:motion | exit=0
tree2 | npm run -s lint:copy | exit=0
tree2 | npm run -s lint:ink | exit=0
tree2 | npm run -s test:e2e:projects | exit=0
tree2 | node scripts/check-pw-projects.mjs | exit=0
tree2 | node scripts/check-copy-register.mjs | exit=0
tree2 | npx eslint . | exit=0
tree2 | npm run -s lint | exit=0
ctl2 | npm run -s lint:lanes | exit=0
ctl2 | npm run -s lint:theme-tokens | exit=0
ctl2 | npm run -s lint:sleep | exit=0
ctl2 | npm run -s lint:motion | exit=0
ctl2 | npm run -s lint:copy | exit=0
ctl2 | npm run -s lint:ink | exit=0
ctl2 | npm run -s test:e2e:projects | exit=0
ctl2 | node scripts/check-pw-projects.mjs | exit=0
ctl2 | node scripts/check-copy-register.mjs | exit=0
ctl2 | npx eslint . | exit=0
ctl2 | npm run -s lint | exit=0
BATDONE
tree2 | npm run -s lint:lanes (re-run with .github present) | exit=0
