# --dist on the clean tree dist (index-BRQ9Cl7IHzwm.js, rebuilt by the critic from 74a2b5d9 + pass7.diff) and on a planted dist
clean: EXIT 0
GATE 4  ONE PUBLISHER + THE LIGHTNESS: GREEN · rings at 0.295 / 0.79, names at 0.295 / 0.86 (±0.005) · 286 source files read · 0 colour literals within ΔE 0.03 of an arm · nearest innocent literal ΔE 

planted dist (index-BgsNT7DNdzER.js): EXIT 1, findings:
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells #ffb2f3, ΔE 0.0000 from the published arm #ffb2f3 — a copy of the tin
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells #005f5a, ΔE 0.0153 from the published arm #005f63 — a copy of the tin
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells #c7d2ff, ΔE 0.0116 from the published arm #c4ceff — a copy of the tin
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells color(display-p3 .1457 .367051 .350749), ΔE 0.0158 from the published arm #005f63 — a copy of the tin
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells color(display-p3 .786558 .821755 .988451), ΔE 0.0111 from the published arm #c4ceff — a copy of the tin
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells lab(35.5975% -26.6648 -4.34487), ΔE 0.0158 from the published arm #005f63 — a copy of the tin
  4a: dist:assets/index-fUQ50ZOVb0Pj.css spells lab(84.4329% 3.18977 -23.9688), ΔE 0.0111 from the published arm #c4ceff — a copy of the tin

the planted entry chunk ships, verbatim:
__tincrit7=["#ffb2f3",["#ff","b2f3"].join(""),"#ffb2f3","#ffb2f3","oklch(from #000 0.856 0.121 332.4)","#ffb2f3","text-indigo-200 text-teal-800"];
=> four byte-exact copies of #ffb2f3 in the shipped JS, 0 findings from any dist:*.js file
