engine scheme arm   photoΔ cov    fringe<4.5 (n/keyed)  core_med
chromium light main     0  0.521  0.289 (50/173)   16.08
chromium light W        0  0.226  0.375 (33/88)   17.90
chromium light H        0  0.237  0.302 (26/86)   18.52
chromium light B        0  0.285  0.352 (37/105)   18.99
chromium dark  main     0  0.521  0.289 (50/173)   16.08
chromium dark  W        0  0.225  0.326 (28/86)   14.83
chromium dark  H        0  0.236  0.247 (21/85)   15.46
chromium dark  B        0  0.283  0.298 (31/104)   16.18
webkit   light main     0  0.527  0.385 (77/200)   15.19
webkit   light W        0  0.230  0.360 (31/86)   18.25
webkit   light H        0  0.239  0.276 (24/87)   18.25
webkit   light B        0  0.291  0.360 (40/111)   18.99
webkit   dark  main     0  0.527  0.382 (76/199)   15.19
webkit   dark  W        0  0.229  0.337 (29/86)   15.18
webkit   dark  H        0  0.238  0.250 (21/84)   15.18
webkit   dark  B        0  0.290  0.339 (37/109)   16.18
