# battery rows, one exit each (control = w7-control at 74a2b5d9 read-only; tree2 = snap2 == work tree byte-for-byte)
copy-register	control 0	tree 0
copy-register-self	control 0	tree 0
theme-tokens	control 0	tree 0
lint-theme-tokens	control 0	tree 0
ink-pressure	control 0	tree 0
lint-ink	control 0	tree 0
lint-lanes	control 0	tree 2
lint-sleep	control 0	tree 0
lint-motion	control 0	tree 0
test-e2e-projects	control 0	tree 0
check-pw-projects	control 0	tree 0
property-block-src	control 0	tree 0
undefined-token-census	control 1	tree 1
eslint	control 0	tree 0
knip	control 0	tree 0
DONE	control DONE	tree 
# final.sh
vue-tsc	0
vitest-1	0	 Test Files 26 passed (26)  Tests 328 passed (328) 
vitest-2	0	 Test Files 34 passed (34)  Tests 431 passed (431) 
vitest-3	0	 Test Files 11 passed (11)  Tests 96 passed (96) 
property-block-served	0
ALLDONE
