# Pass 7 banks (the chair's index)

Each family's pass-7 tree banked --binary through a temporary index (product paths only; dist, reports, caches, node_modules and wasm pkg excluded) by `.claude/t9-scratch/bank-pass7.sh`. Every bank passes `git apply --check` on a fresh archive of its base (TAB-PEN on both 1d0dc4fd and 74a2b5d9). The §13 tree is banked ONCE under MOT-VERB; MOT-LADDER carries `pass7-ladder.diff`, the chair's cut at LADDER's return before VERB began.

| family | base | tree | bytes | sha1 | shortstat |
|---|---|---|---|---|---|
| ACC-FIVE | 74a2b5d9 | 6b92ba6d | 153,004 | d8edfa857e58 | 18 files changed, 2281 insertions(+), 162 deletions(-) |
| ACC-GRAPHITE | 74a2b5d9 | beecfecc | 186,096 | 0c5a0f6f6252 | 25 files changed, 2563 insertions(+), 187 deletions(-) |
| ACC-SIX | 74a2b5d9 | b2d8d3ea | 243,833 | 2d62779185e0 | 27 files changed, 4061 insertions(+), 152 deletions(-) |
| CTRL-FACE | 74a2b5d9 | c0644732 | 391,980 | 98035ff9cd3c | 26 files changed, 4959 insertions(+), 354 deletions(-) |
| CTRL-RULE | 74a2b5d9 | 1823c29b | 333,562 | afea78980117 | 33 files changed, 2991 insertions(+), 1231 deletions(-) |
| CTRL-TAPE | 74a2b5d9 | 711834e8 | 350,279 | c743d67f27e1 | 31 files changed, 4548 insertions(+), 709 deletions(-) |
| MOT-VERB | 74a2b5d9 | e7cc2ae8 | 556,823 | f9833cb8050e | 64 files changed, 10194 insertions(+), 340 deletions(-) |
| MRK-LIVE | 74a2b5d9 | de96c956 | 181,195 | 5874d446561d | 22 files changed, 2697 insertions(+), 175 deletions(-) |
| NOTE-ERASE | 74a2b5d9 | 4518da97 | 107,061 | d77243bf1424 | 17 files changed, 1658 insertions(+), 81 deletions(-) |
| NOTE-LEDGER | 74a2b5d9 | 7cfcdce2 | 155,269 | f180e9da250c | 15 files changed, 2723 insertions(+), 72 deletions(-) |
| PAL-TIN | 74a2b5d9 | 73bcdcdd | 190,745 | 581b77a5e56e | 20 files changed, 3306 insertions(+), 82 deletions(-) |
| PAL-WALK | 74a2b5d9 | af395a07 | 213,484 | 45543f8ba1b1 | 18 files changed, 3722 insertions(+), 89 deletions(-) |
| PLR-COUNT | 74a2b5d9 | c8df339d | 248,821 | 5596d639c4f0 | 25 files changed, 4030 insertions(+), 513 deletions(-) |
| PLR-PLACE | 74a2b5d9 | fad420a3 | 247,799 | c94f15eee4ce | 29 files changed, 4131 insertions(+), 406 deletions(-) |
| PLR-SELF | 74a2b5d9 | 72c2eeb1 | 152,715 | 8381812c9ca9 | 23 files changed, 2232 insertions(+), 402 deletions(-) |
| TAB-PEN | 1d0dc4fd | f114b075 | 81,631 | f5bdbd76bf5d | 12 files changed, 1748 insertions(+), 19 deletions(-) |
| MOT-LADDER (cut) | 74a2b5d9 | cb17b5f3 | 511,872 | 1ee1d51d35a7 | 59 files changed, 9367 insertions(+), 287 deletions(-) |
