arm	engine	cell	dpr	theme	inset	padB	lowestInk	clearsInsetLine	vv published/consumer/unpublished	rule quarters	stationsUnder3	pixelCore@50 median	pixelCoreUnder3	alpha
tree	chromium	390x844c	1	light	0	2.4px	841	3	844px/844px/844px	[5.165, 5.165, 5.165, 5.165]	0	5.165	0.123	0.674
tree	chromium	390x844c	1	light	34	34px	810	0	844px/844px/844px	[5.236, 5.236, 5.236, 5.236]	0	3.776	0.363	0.679
tree	chromium	390x844c	1	dark	0	2.4px	841	3	844px/844px/844px	[5.959, 5.959, 5.959, 5.959]	0	5.959	0.001	0.679
tree	chromium	390x844c	1	dark	34	34px	810	0	844px/844px/844px	[6.014, 6.014, 6.014, 6.014]	0	5.354	0	0.679
tree	chromium	390x844c	2	light	0	2.4px	840.5	3.5	844px/844px/844px	[5.165, 5.165, 5.165, 5.165]	0	5.165	0.121	0.674
tree	chromium	390x844c	2	light	34	34px	809.5	0.5	844px/844px/844px	[5.236, 5.236, 5.236, 5.236]	0	5.236	0.119	0.679
tree	chromium	390x844c	2	dark	0	2.4px	840.5	3.5	844px/844px/844px	[5.959, 5.959, 5.959, 5.959]	0	5.959	0	0.679
tree	chromium	390x844c	2	dark	34	34px	809.5	0.5	844px/844px/844px	[6.014, 6.014, 6.014, 6.014]	0	6.014	0	0.679
tree	chromium	430x932c	1	light	0	2.4px	929	3	932px/932px/932px	[5.165, 5.165, 5.165, 5.165]	0	5.165	0.212	0.674
tree	chromium	430x932c	1	light	34	34px	897	1	932px/932px/932px	[5.236, 5.236, 5.236, 5.236]	0	3.828	0.301	0.679
tree	chromium	430x932c	1	dark	0	2.4px	929	3	932px/932px/932px	[5.959, 5.959, 5.959, 5.959]	0	5.959	0	0.679
tree	chromium	430x932c	1	dark	34	34px	897	1	932px/932px/932px	[6.014, 6.014, 6.014, 6.014]	0	5.421	0	0.679
tree	chromium	430x932c	2	light	0	2.4px	929	3	932px/932px/932px	[5.165, 5.165, 5.165, 5.165]	0	5.165	0.102	0.674
tree	chromium	430x932c	2	light	34	34px	896.5	1.5	932px/932px/932px	[5.236, 5.236, 5.236, 5.236]	0	5.236	0.099	0.679
tree	chromium	430x932c	2	dark	0	2.4px	929	3	932px/932px/932px	[5.959, 5.959, 5.959, 5.959]	0	5.959	0	0.679
tree	chromium	430x932c	2	dark	34	34px	896.5	1.5	932px/932px/932px	[6.014, 6.014, 6.014, 6.014]	0	6.014	0.005	0.679
tree	webkit	390x844c	1	light	0	2.4px	841	3	844px/844px/843.999939px	[5.236, 5.236, 5.236, 5.236]	0	5.236	0.233	0.679
tree	webkit	390x844c	1	dark	0	2.4px	841	3	844px/844px/843.999939px	[6.069, 6.069, 6.069, 6.069]	0	6.069	0	0.679
tree	webkit	390x844c	2	light	0	2.4px	840.5	3.5	844px/844px/843.999939px	[5.236, 5.236, 5.236, 5.236]	0	5.236	0.117	0.679
tree	webkit	390x844c	2	dark	0	2.4px	840.5	3.5	844px/844px/843.999939px	[6.069, 6.069, 6.069, 6.069]	0	6.069	0	0.679
tree	webkit	430x932c	1	light	0	2.4px	929	3	932px/932px/932px	[5.236, 5.236, 5.236, 5.236]	0	5.236	0.23	0.679
tree	webkit	430x932c	1	dark	0	2.4px	929	3	932px/932px/932px	[6.069, 6.069, 6.069, 6.069]	0	6.069	0	0.679
tree	webkit	430x932c	2	light	0	2.4px	929	3	932px/932px/932px	[5.236, 5.236, 5.236, 5.236]	0	5.236	0.117	0.679
tree	webkit	430x932c	2	dark	0	2.4px	929	3	932px/932px/932px	[6.069, 6.069, 6.069, 6.069]	0	6.069	0	0.679
tree-cured	chromium	390x844c	1	light	0	2.4px	841	3	844px/844px/844px	[5.165, 5.165, 5.165, 5.165]	0	5.165	0.123	0.674
tree-cured	chromium	390x844c	1	light	34	36.4px	807	3	844px/844px/844px	[5.165, 5.165, 5.165, 5.165]	0	5.165	0.123	0.674
tree-cured	chromium	390x844c	1	dark	0	2.4px	841	3	844px/844px/844px	[5.959, 5.959, 5.959, 5.959]	0	5.959	0.001	0.679
tree-cured	chromium	390x844c	1	dark	34	36.4px	807	3	844px/844px/844px	[5.959, 5.959, 5.959, 5.959]	0	5.959	0	0.679
