engine	cell	tab ctrl/ruled/s10	Δtab ruled|s10	cardClientH ctrl/ruled/s10	Δcontent ruled|s10	sideways ctrl/ruled/s10
chromium	390x844c	124/133.61/161.23	+9.61|+37.23	628/540/512	-88|-116	0/0/0
chromium	360x800c	124/133.61/149.88	+9.61|+25.88	584/496/479	-88|-105	0/0/0
chromium	390x800c	124/133.61/139.23	+9.61|+15.23	584/496/490	-88|-94	0/0/0
chromium	430x932c	208.84/198.73/229.83	-10.11|+20.99	675/607/575	-68|-100	0/0/0
chromium	390x844f	156.83/161.53/192.03	+4.7|+35.2	595/516/485	-79|-110	0/0/0
chromium	360x800f	124/150.13/180.67	+26.13|+56.67	584/484/452	-100|-132	0/0/0
chromium	390x800f	124/139.53/170.03	+15.53|+46.03	584/494/463	-90|-121	0/0/0
chromium	600x960f	315.05/318.25/249.14	+3.2|-65.91	597/519/587	-78|-10	0/0/0
chromium	768x1024c	294.98/334.2/263.72	+39.22|-31.26	681/564/634	-117|-47	0/0/0
chromium	820x1180c	450.98/490.2/419.72	+39.22|-31.26	681/564/634	-117|-47	0/0/0
webkit	390x844c	124/134/162	+10|+38	628/540/512	-88|-116	0/0/0
webkit	360x800c	124/134/150	+10|+26	584/496/479	-88|-105	0/0/0
webkit	390x800c	124/134/140	+10|+16	584/496/490	-88|-94	0/0/0
webkit	430x932c	209/199/230	-10|+21	675/607/575	-68|-100	0/0/0
webkit	390x844f	157/162/192	+5|+35	595/516/485	-79|-110	0/0/0
webkit	360x800f	124/150/181	+26|+57	584/484/452	-100|-132	0/0/0
webkit	390x800f	124/140/170	+16|+46	584/494/463	-90|-121	0/0/0
webkit	600x960f	315/318/249	+3|-66	597/519/587	-78|-10	0/0/0
webkit	768x1024c	295/334/264	+39|-31	681/564/633	-117|-48	0/0/0
webkit	820x1180c	451/490/420	+39|-31	681/564/633	-117|-48	0/0/0
