# whole-ring statistic, cell 0, 240 stations, under 3:1 (dropped counted), two photographs each [a,b]; worst = min painted; left = left-side median
arm | engine | theme | board | under | unpainted | worst | left
=== control-74a2b5d9-dist load { 282.97 216.92 157.75 }
control-74a2b5d9-dist | chromium | light | 16×16 | 44/44 | 0/0 | 2.69/2.69 | 3.626/3.626 | payload ok
control-74a2b5d9-dist | chromium | light | 9×9 | 66/66 | 0/0 | 2.693/2.693 | 2.698/2.698 | payload ok
control-74a2b5d9-dist | chromium | light | 4×4 | 0/0 | 0/0 | 3.626/3.626 | 3.679/3.679 | payload ok
control-74a2b5d9-dist | chromium | dark | 16×16 | 44/44 | 0/0 | 2.309/2.309 | 3.715/3.715 | payload ok
control-74a2b5d9-dist | chromium | dark | 9×9 | 66/66 | 0/0 | 2.309/2.309 | 2.312/2.312 | payload ok
control-74a2b5d9-dist | chromium | dark | 4×4 | 0/0 | 0/0 | 3.715/3.715 | 3.763/3.763 | payload ok
control-74a2b5d9-dist | webkit | light | 16×16 | 24/24 | 0/0 | 2.693/2.693 | 3.433/3.433 | payload ok
control-74a2b5d9-dist | webkit | light | 9×9 | 66/66 | 0/0 | 2.688/2.688 | 2.693/2.693 | payload ok
control-74a2b5d9-dist | webkit | light | 4×4 | 0/0 | 0/0 | 3.632/3.632 | 3.685/3.685 | payload ok
control-74a2b5d9-dist | webkit | dark | 16×16 | 24/24 | 0/0 | 2.32/2.32 | 3.548/3.548 | payload ok
control-74a2b5d9-dist | webkit | dark | 9×9 | 66/66 | 0/0 | 2.316/2.316 | 2.316/2.316 | payload ok
control-74a2b5d9-dist | webkit | dark | 4×4 | 0/0 | 0/0 | 3.708/3.708 | 3.755/3.755 | payload ok
=== lane-head-dev load { 366.13 295.00 204.30 }
lane-head-dev | chromium | light | 16×16 | 44/44 | 0/0 | 2.812/2.812 | 3.207/3.207 | payload ok
lane-head-dev | chromium | light | 9×9 | 66/66 | 0/0 | 2.812/2.812 | 2.812/2.812 | payload ok
lane-head-dev | chromium | light | 4×4 | 0/0 | 0/0 | 3.92/3.92 | 3.972/3.972 | payload ok
lane-head-dev | chromium | dark | 16×16 | 44/44 | 0/0 | 2.404/2.404 | 3.989/3.989 | payload ok
lane-head-dev | chromium | dark | 9×9 | 66/66 | 0/0 | 2.404/2.404 | 2.404/2.404 | payload ok
lane-head-dev | chromium | dark | 4×4 | 0/0 | 0/0 | 3.989/3.989 | 3.989/3.989 | payload ok
lane-head-dev | webkit | light | 16×16 | 24/24 | 0/0 | 2.85/2.85 | 3.696/3.696 | payload ok
lane-head-dev | webkit | light | 9×9 | 66/66 | 0/0 | 2.847/2.847 | 2.85/2.85 | payload ok
lane-head-dev | webkit | light | 4×4 | 0/0 | 0/0 | 3.92/3.92 | 3.965/3.965 | payload ok
