rows 144 · under HEAD 10
chromium·dpr1·dark·cell11·peer-2 3.169 < HEAD 3.387 (-0.218)
chromium·dpr1·dark·cell11·peer-3 3.131 < HEAD 3.387 (-0.256)
chromium·dpr1·dark·cell11·peer-5 2.941 < HEAD 3.387 (-0.446)
chromium·dpr1·dark·cell12·peer-2 3.129 < HEAD 3.352 (-0.223)
chromium·dpr1·dark·cell12·peer-3 3.059 < HEAD 3.352 (-0.293)
chromium·dpr1·dark·cell12·peer-5 2.941 < HEAD 3.352 (-0.411)
chromium·dpr1·dark·cell8·peer-5 2.614 < HEAD 2.698 (-0.084)
chromium·dpr2·dark·cell11·peer-5 5.121 < HEAD 5.267 (-0.146)
chromium·dpr2·dark·cell12·peer-5 5.076 < HEAD 5.273 (-0.197)
chromium·dpr2·dark·cell8·peer-5 5.076 < HEAD 5.158 (-0.082)
