engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
chromium	1	dark-active	B	16	0.000	0.283	2.828	1.414	0.236	[2, 3]	1	[17, 15, 14]	1.584	16.182	31	0.298	0.250	0
chromium	1	dark-active	H	16	0.000	0.236	2.000	1.414	0.167	[3, 3]	1	[17, 15, 14]	1.584	15.459	21	0.247	0.212	0.150
chromium	1	dark-active	P	16	0.000	0.222	2.000	2.000	0.167	[3, 4]	1	[17, 15, 14]	1.584	12.644	24	0.282	0.224	
chromium	1	dark-active	W	16	0.000	0.225	2.000	1.414	0.167	[3, 3]	1	[17, 15, 14]	1.584	14.826	28	0.326	0.233	0.150
chromium	1	dark-active	fable	16	0.000	0.192	2.000	1.414	0.154	[2, 4]	1	[17, 15, 14]	1.584	14.491	22	0.297	0.257	0.150
chromium	1	dark-active	main	16	0.000	0.521	2.828	2.236	0.202	[2, 2]	2	[250, 248, 245]	11.384	16.077	50	0.289	0.202	0
chromium	1	dark-active	opus	16	0.000	0.250	2.000	1.414	0.182	[2, 2]	1	[17, 15, 14]	1.584	15.317	28	0.301	0.226	0.150
chromium	1	dark-strip	B	16	0.000	0.283	2.828	1.414	0.236	[2, 3]	1	[17, 15, 14]	1.187	16.182	31	0.298	0.250	0
chromium	1	dark-strip	H	16	0.000	0.236	2.000	1.414	0.167	[3, 3]	1	[17, 15, 14]	1.187	15.459	21	0.247	0.212	0.150
chromium	1	dark-strip	P	16	0.000	0.222	2.000	2.000	0.167	[3, 4]	1	[17, 15, 14]	1.187	12.644	24	0.282	0.224	
chromium	1	dark-strip	W	16	0.000	0.225	2.000	1.414	0.167	[3, 3]	1	[17, 15, 14]	1.187	14.826	28	0.326	0.233	0.150
chromium	1	dark-strip	fable	16	0.000	0.192	2.000	1.414	0.154	[2, 4]	1	[17, 15, 14]	1.187	14.491	22	0.297	0.257	0.150
chromium	1	dark-strip	main	16	0.000	0.521	2.828	2.236	0.202	[2, 2]	2	[250, 248, 245]	15.187	16.077	50	0.289	0.202	0
chromium	1	dark-strip	opus	16	0.000	0.250	2.000	1.414	0.182	[2, 2]	1	[17, 15, 14]	1.187	15.317	28	0.301	0.226	0.150
chromium	1	light-active	B	16	0.000	0.285	2.828	1.414	0.236	[2, 3]	1	[251, 250, 249]	1.042	18.991	37	0.352	0.295	0
chromium	1	light-active	H	16	0.000	0.237	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.042	18.515	26	0.302	0.244	0.150
chromium	1	light-active	P	16	0.000	0.223	2.000	2.000	0.167	[3, 4]	1	[251, 250, 249]	1.042	14.704	33	0.379	0.264	
chromium	1	light-active	W	16	0.000	0.226	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.042	17.896	33	0.375	0.295	0.150
chromium	1	light-active	fable	16	0.000	0.193	2.000	1.414	0.154	[2, 4]	1	[251, 250, 249]	1.042	16.522	28	0.378	0.284	0.150
chromium	1	light-active	main	16	0.000	0.521	2.828	2.236	0.202	[2, 2]	2	[250, 248, 245]	1.060	16.077	50	0.289	0.202	0
chromium	1	light-active	opus	16	0.000	0.251	2.000	1.414	0.182	[2, 2]	1	[251, 250, 249]	1.042	18.387	35	0.372	0.277	0.150
chromium	1	light-strip	B	16	0.000	0.285	2.828	1.414	0.236	[2, 3]	1	[251, 250, 249]	1.258	18.991	37	0.352	0.295	0
chromium	1	light-strip	H	16	0.000	0.237	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.258	18.515	26	0.302	0.244	0.150
