regime: chromium · 1× · none · cold · desk   (cured arm: chromium · 1× · none · cold · desk)
base  : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/fix-r1/raw/c1x-none-cold-desk/base.jsonl · load { 32.80 30.73 25.69 } → { 22.01 27.73 25.01 }
cured : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/fix-r1/raw/c1x-none-cold-desk/cured.jsonl · load { 29.44 30.06 25.54 } → { 21.49 27.32 24.91 }
taint : base 0/0/0 · cured 0/0/0

### base — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 265.8 | 571.1 | 828.6 | 84.5 | 75.0 |
| 2 | 28.0 | 272.4 | 565.4 | 806.8 | 83.7 | 69.0 |
| 3 | 28.0 | 294.8 | 633.3 | 910.5 | 89.1 | 134.0 |

### cured — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 361.5 | 586.6 | 95.2 | 97.0 |
| 2 | 16.0 | 0.0 | 297.8 | 498.2 | 88.4 | 44.0 |
| 3 | 16.0 | 0.0 | 290.3 | 495.1 | 89.8 | 35.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 28.0–28.0 | 16.0 | 16.0–16.0 | -12.0 | YES |
| discardedMs | 272.4 | 265.8–294.8 | 0.0 | 0.0–0.0 | -272.4 | YES |
| encodeMs | 571.1 | 565.4–633.3 | 297.8 | 290.3–361.5 | -273.3 | YES |
| lastEncodeMs | 828.6 | 806.8–910.5 | 498.2 | 495.1–586.6 | -330.4 | YES |
| boardReadyMs | 84.5 | 83.7–89.1 | 89.8 | 88.4–95.2 | 5.3 | no — inside the spread |
| tbtMs | 75.0 | 69.0–134.0 | 44.0 | 35.0–97.0 | -31.0 | no — inside the spread |
