regime: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk   (cured arm: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk)
base  : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/fix-r1/raw/w-cold-desk/base.jsonl · load { 28.57 26.47 22.47 } → { 19.53 23.40 21.86 }
cured : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/fix-r1/raw/w-cold-desk/cured.jsonl · load { 26.52 26.13 22.42 } → { 17.21 22.70 21.63 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 281.0 | 613.0 | 1067.0 | 499.0 | 0.0 |
| 2 | 20.0 | 261.0 | 575.0 | 959.0 | 424.0 | 0.0 |
| 3 | 24.0 | 273.0 | 591.0 | 1030.0 | 415.0 | 0.0 |
| 4 | 20.0 | 273.0 | 615.0 | 1021.0 | 440.0 | 0.0 |
| 5 | 24.0 | 275.0 | 581.0 | 823.0 | 401.0 | 0.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 35.0 | 341.0 | 636.0 | 209.0 | 0.0 |
| 2 | 20.0 | 44.0 | 378.0 | 696.0 | 225.0 | 0.0 |
| 3 | 20.0 | 39.0 | 367.0 | 668.0 | 209.0 | 0.0 |
| 4 | 16.0 | 0.0 | 392.0 | 723.0 | 265.0 | 0.0 |
| 5 | 20.0 | 39.0 | 342.0 | 623.0 | 193.0 | 0.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 20.0 | 20.0–24.0 | 20.0 | 16.0–20.0 | 0.0 | no — inside the spread |
| discardedMs | 273.0 | 261.0–281.0 | 39.0 | 0.0–44.0 | -234.0 | YES |
| encodeMs | 591.0 | 575.0–615.0 | 367.0 | 341.0–392.0 | -224.0 | YES |
| lastEncodeMs | 1021.0 | 823.0–1067.0 | 668.0 | 623.0–723.0 | -353.0 | YES |
| boardReadyMs | 424.0 | 401.0–499.0 | 209.0 | 193.0–265.0 | -215.0 | YES |
| tbtMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
