regime: chromium · 4× · fast3g · cold · desk   (cured arm: chromium · 4× · fast3g · cold · desk)
base  : fix-r2/raw/c4x-fast3g-cold-desk/base.jsonl · load { 31.63 34.92 31.14 } → { 96.78 55.93 40.30 }
cured : fix-r2/raw/c4x-fast3g-cold-desk/cured.jsonl · load { 43.16 37.61 32.24 } → { 76.49 54.05 39.99 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 1423.3 | 2703.9 | 5030.7 | 1517.3 | 2099.0 |
| 2 | 28.0 | 1625.4 | 3451.6 | 5832.9 | 1528.3 | 2732.0 |
| 3 | 28.0 | 1720.7 | 3241.0 | 5764.0 | 1664.8 | 2660.0 |
| 4 | 28.0 | 1540.6 | 3266.7 | 5593.5 | 1520.0 | 2594.0 |
| 5 | 28.0 | 1599.8 | 3171.7 | 5882.6 | 1544.5 | 2682.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 1844.6 | 4094.6 | 1611.7 | 1648.0 |
| 2 | 16.0 | 0.0 | 1644.5 | 3858.9 | 1616.2 | 1480.0 |
| 3 | 16.0 | 0.0 | 1654.2 | 3816.0 | 1515.4 | 1383.0 |
| 4 | 16.0 | 0.0 | 1765.4 | 4054.0 | 1635.5 | 1674.0 |
| 5 | 16.0 | 0.0 | 1189.8 | 3140.5 | 1530.0 | 1033.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 28.0–28.0 | 16.0 | 16.0–16.0 | -12.0 | YES |
| discardedMs | 1599.8 | 1423.3–1720.7 | 0.0 | 0.0–0.0 | -1599.8 | YES |
| encodeMs | 3241.0 | 2703.9–3451.6 | 1654.2 | 1189.8–1844.6 | -1586.8 | YES |
| lastEncodeMs | 5764.0 | 5030.7–5882.6 | 3858.9 | 3140.5–4094.6 | -1905.1 | YES |
| boardReadyMs | 1528.3 | 1517.3–1664.8 | 1611.7 | 1515.4–1635.5 | 83.4 | no — inside the spread |
| tbtMs | 2660.0 | 2099.0–2732.0 | 1480.0 | 1033.0–1674.0 | -1180.0 | YES |
