regime: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk   (cured arm: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk)
base  : fix-r2/raw/w-cold-desk-b/base.jsonl · load { 50.83 53.42 42.88 } → { 59.41 53.89 44.66 }
cured : fix-r2/raw/w-cold-desk-b/cured.jsonl · load { 42.36 51.34 42.39 } → { 54.75 53.15 44.61 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 452.0 | 1148.0 | 1536.0 | 811.0 | 0.0 |
| 2 | 24.0 | 483.0 | 1016.0 | 1811.0 | 1243.0 | 0.0 |
| 3 | 20.0 | 398.0 | 900.0 | 1207.0 | 682.0 | 0.0 |
| 4 | 20.0 | 492.0 | 1634.0 | 2094.0 | 910.0 | 0.0 |
| 5 | 16.0 | 0.0 | 621.0 | 1555.0 | 1042.0 | 0.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 500.0 | 984.0 | 383.0 | 0.0 |
| 2 | 16.0 | 0.0 | 539.0 | 1005.0 | 371.0 | 0.0 |
| 3 | 16.0 | 0.0 | 606.0 | 1215.0 | 436.0 | 0.0 |
| 4 | 16.0 | 0.0 | 585.0 | 1165.0 | 442.0 | 0.0 |
| 5 | 16.0 | 0.0 | 615.0 | 1286.0 | 446.0 | 0.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 20.0 | 16.0–24.0 | 16.0 | 16.0–16.0 | -4.0 | no — inside the spread |
| discardedMs | 452.0 | 0.0–492.0 | 0.0 | 0.0–0.0 | -452.0 | no — inside the spread |
| encodeMs | 1016.0 | 621.0–1634.0 | 585.0 | 500.0–615.0 | -431.0 | YES |
| lastEncodeMs | 1555.0 | 1207.0–2094.0 | 1165.0 | 984.0–1286.0 | -390.0 | no — inside the spread |
| boardReadyMs | 910.0 | 682.0–1243.0 | 436.0 | 371.0–446.0 | -474.0 | YES |
| tbtMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
