regime: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk   (cured arm: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk)
base  : fix-r2/raw/w-cold-desk-pooled/base.jsonl · load { 72.43 54.19 40.28 } → { 59.41 53.89 44.66 }
cured : fix-r2/raw/w-cold-desk-pooled/cured.jsonl · load { 58.31 52.17 39.88 } → { 54.75 53.15 44.61 }
taint : base 0/0/0/0/0/0/0/0/0/0 · cured 0/0/0/0/0/0/0/0/0/0

### base — 10 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 446.0 | 1099.0 | 1497.0 | 815.0 | 0.0 |
| 2 | 20.0 | 465.0 | 1147.0 | 1504.0 | 786.0 | 0.0 |
| 3 | 20.0 | 494.0 | 1118.0 | 1548.0 | 894.0 | 0.0 |
| 4 | 16.0 | 0.0 | 1097.0 | 1646.0 | 1156.0 | 0.0 |
| 5 | 20.0 | 446.0 | 1049.0 | 1429.0 | 794.0 | 0.0 |
| 6 | 20.0 | 452.0 | 1148.0 | 1536.0 | 811.0 | 0.0 |
| 7 | 24.0 | 483.0 | 1016.0 | 1811.0 | 1243.0 | 0.0 |
| 8 | 20.0 | 398.0 | 900.0 | 1207.0 | 682.0 | 0.0 |
| 9 | 20.0 | 492.0 | 1634.0 | 2094.0 | 910.0 | 0.0 |
| 10 | 16.0 | 0.0 | 621.0 | 1555.0 | 1042.0 | 0.0 |

### cured — 10 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 496.0 | 949.0 | 359.0 | 0.0 |
| 2 | 16.0 | 0.0 | 729.0 | 1343.0 | 473.0 | 0.0 |
| 3 | 16.0 | 0.0 | 651.0 | 1203.0 | 407.0 | 0.0 |
| 4 | 16.0 | 0.0 | 543.0 | 1046.0 | 393.0 | 0.0 |
| 5 | 16.0 | 0.0 | 784.0 | 1440.0 | 482.0 | 0.0 |
| 6 | 16.0 | 0.0 | 500.0 | 984.0 | 383.0 | 0.0 |
| 7 | 16.0 | 0.0 | 539.0 | 1005.0 | 371.0 | 0.0 |
| 8 | 16.0 | 0.0 | 606.0 | 1215.0 | 436.0 | 0.0 |
| 9 | 16.0 | 0.0 | 585.0 | 1165.0 | 442.0 | 0.0 |
| 10 | 16.0 | 0.0 | 615.0 | 1286.0 | 446.0 | 0.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 20.0 | 16.0–24.0 | 16.0 | 16.0–16.0 | -4.0 | no — inside the spread |
| discardedMs | 449.0 | 0.0–494.0 | 0.0 | 0.0–0.0 | -449.0 | no — inside the spread |
| encodeMs | 1098.0 | 621.0–1634.0 | 595.5 | 496.0–784.0 | -502.5 | no — inside the spread |
| lastEncodeMs | 1542.0 | 1207.0–2094.0 | 1184.0 | 949.0–1440.0 | -358.0 | no — inside the spread |
| boardReadyMs | 854.5 | 682.0–1243.0 | 421.5 | 359.0–482.0 | -433.0 | YES |
| tbtMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
