regime: chromium · 4× · fast3g · cold · desk   (cured arm: chromium · 4× · fast3g · cold · desk)
base  : /tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/abl/c-base.jsonl · load { 13.60 12.33 11.39 } → { 18.76 16.22 13.20 }
cured : /tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/abl/c-abl.jsonl · load { 14.00 12.54 11.49 } → { 16.36 15.82 13.12 }
taint : base 0/0/0 · cured 0/0/0

### base — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 968.4 | 2033.8 | 4009.6 | 1421.7 | 1502.0 |
| 2 | 28.0 | 1035.2 | 2159.8 | 4294.3 | 1462.0 | 1595.0 |
| 3 | 28.0 | 971.8 | 2026.4 | 3947.6 | 1416.2 | 1458.0 |

### cured — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 996.5 | 2069.7 | 3989.4 | 1391.2 | 1477.0 |
| 2 | 28.0 | 1144.9 | 2255.9 | 4256.1 | 1369.1 | 1581.0 |
| 3 | 28.0 | 980.4 | 2031.3 | 3950.0 | 1403.5 | 1444.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 28.0–28.0 | 28.0 | 28.0–28.0 | 0.0 | no — inside the spread |
| discardedMs | 971.8 | 968.4–1035.2 | 996.5 | 980.4–1144.9 | 24.7 | no — inside the spread |
| encodeMs | 2033.8 | 2026.4–2159.8 | 2069.7 | 2031.3–2255.9 | 35.9 | no — inside the spread |
| lastEncodeMs | 4009.6 | 3947.6–4294.3 | 3989.4 | 3950.0–4256.1 | -20.2 | no — inside the spread |
| boardReadyMs | 1421.7 | 1416.2–1462.0 | 1391.2 | 1369.1–1403.5 | -30.5 | YES |
| tbtMs | 1502.0 | 1458.0–1595.0 | 1477.0 | 1444.0–1581.0 | -25.0 | no — inside the spread |
