regime: chromium · 4× · fast3g · cold · desk   (cured arm: chromium · 4× · fast3g · cold · desk)
base  : /tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/c4x/base.jsonl · load { 3.62 9.71 11.00 } → { 6.56 8.05 10.04 }
cured : /tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/c4x/cured.jsonl · load { 3.30 9.24 10.80 } → { 9.75 8.65 10.20 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 975.0 | 2031.8 | 3904.5 | 1379.8 | 1435.0 |
| 2 | 28.0 | 977.6 | 2010.5 | 3902.0 | 1378.9 | 1415.0 |
| 3 | 28.0 | 987.4 | 2048.7 | 3942.3 | 1388.1 | 1455.0 |
| 4 | 28.0 | 995.8 | 2022.8 | 3953.9 | 1406.5 | 1454.0 |
| 5 | 28.0 | 983.3 | 2031.0 | 3952.7 | 1384.9 | 1445.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 1051.0 | 2786.9 | 1387.2 | 798.0 |
| 2 | 16.0 | 0.0 | 1053.9 | 2775.2 | 1373.1 | 793.0 |
| 3 | 16.0 | 0.0 | 1065.8 | 2816.3 | 1396.5 | 819.0 |
| 4 | 16.0 | 0.0 | 1148.2 | 2983.2 | 1452.7 | 938.0 |
| 5 | 16.0 | 0.0 | 1053.1 | 2795.2 | 1401.3 | 809.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 28.0–28.0 | 16.0 | 16.0–16.0 | -12.0 | YES |
| discardedMs | 983.3 | 975.0–995.8 | 0.0 | 0.0–0.0 | -983.3 | YES |
| encodeMs | 2031.0 | 2010.5–2048.7 | 1053.9 | 1051.0–1148.2 | -977.1 | YES |
| lastEncodeMs | 3942.3 | 3902.0–3953.9 | 2795.2 | 2775.2–2983.2 | -1147.1 | YES |
| boardReadyMs | 1384.9 | 1378.9–1406.5 | 1396.5 | 1373.1–1452.7 | 11.6 | no — inside the spread |
| tbtMs | 1445.0 | 1415.0–1455.0 | 809.0 | 793.0–938.0 | -636.0 | YES |
