regime: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk   (cured arm: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk)
base  : /tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/wk/base.jsonl · load { 9.38 8.64 10.15 } → { 9.21 9.19 10.14 }
cured : /tmp/claude-504/-Users-mkbabb-Programming-csc411-CSC411-HW2-ProgrammingQuestion/b26a5145-f034-45a7-a7f0-2781da45a9b3/scratchpad/wk/cured.jsonl · load { 8.32 8.44 10.05 } → { 8.33 9.00 10.06 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 24.0 | 324.0 | 760.0 | 1278.0 | 474.0 | 0.0 |
| 2 | 24.0 | 319.0 | 687.0 | 968.0 | 463.0 | 0.0 |
| 3 | 24.0 | 296.0 | 629.0 | 1082.0 | 432.0 | 0.0 |
| 4 | 20.0 | 281.0 | 631.0 | 1039.0 | 438.0 | 0.0 |
| 5 | 20.0 | 283.0 | 618.0 | 1025.0 | 452.0 | 0.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 356.0 | 591.0 | 512.0 | 0.0 |
| 2 | 16.0 | 0.0 | 353.0 | 606.0 | 528.0 | 0.0 |
| 3 | 16.0 | 0.0 | 364.0 | 617.0 | 538.0 | 0.0 |
| 4 | 16.0 | 0.0 | 366.0 | 595.0 | 526.0 | 0.0 |
| 5 | 16.0 | 0.0 | 362.0 | 602.0 | 539.0 | 0.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 24.0 | 20.0–24.0 | 16.0 | 16.0–16.0 | -8.0 | YES |
| discardedMs | 296.0 | 281.0–324.0 | 0.0 | 0.0–0.0 | -296.0 | YES |
| encodeMs | 631.0 | 618.0–760.0 | 362.0 | 353.0–366.0 | -269.0 | YES |
| lastEncodeMs | 1039.0 | 968.0–1278.0 | 602.0 | 591.0–617.0 | -437.0 | YES |
| boardReadyMs | 452.0 | 432.0–474.0 | 528.0 | 512.0–539.0 | 76.0 | YES |
| tbtMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
