regime: chromium · 4× · fast3g · cold · desk   (cured arm: chromium · 4× · fast3g · cold · desk)
base  : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/verify-r2/raw/c4x-fast3g-cold-desk/base.jsonl · load { 33.74 22.55 21.20 } → { 18.88 23.69 22.24 }
cured : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/verify-r2/raw/c4x-fast3g-cold-desk/cured.jsonl · load { 39.31 24.85 22.07 } → { 21.05 23.91 22.34 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 1463.5 | 3036.0 | 5421.9 | 1580.3 | 2452.0 |
| 2 | 28.0 | 1445.2 | 3032.1 | 5356.4 | 1533.8 | 2391.0 |
| 3 | 28.0 | 1338.0 | 2698.4 | 4841.4 | 1497.2 | 2082.0 |
| 4 | 28.0 | 1032.5 | 2239.1 | 4202.8 | 1418.8 | 1641.0 |
| 5 | 28.0 | 1194.7 | 2353.1 | 4369.2 | 1428.8 | 1732.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 1661.4 | 3856.4 | 1587.0 | 1479.0 |
| 2 | 16.0 | 0.0 | 1334.0 | 3220.9 | 1454.4 | 1084.0 |
| 3 | 16.0 | 0.0 | 1459.1 | 3436.5 | 1487.7 | 1191.0 |
| 4 | 16.0 | 0.0 | 1222.2 | 3056.1 | 1414.3 | 965.0 |
| 5 | 16.0 | 0.0 | 1072.0 | 2851.3 | 1382.3 | 822.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 28.0–28.0 | 16.0 | 16.0–16.0 | -12.0 | YES |
| discardedMs | 1338.0 | 1032.5–1463.5 | 0.0 | 0.0–0.0 | -1338.0 | YES |
| encodeMs | 2698.4 | 2239.1–3036.0 | 1334.0 | 1072.0–1661.4 | -1364.4 | YES |
| lastEncodeMs | 4841.4 | 4202.8–5421.9 | 3220.9 | 2851.3–3856.4 | -1620.5 | YES |
| boardReadyMs | 1497.2 | 1418.8–1580.3 | 1454.4 | 1382.3–1587.0 | -42.8 | no — inside the spread |
| tbtMs | 2082.0 | 1641.0–2452.0 | 1084.0 | 822.0–1479.0 | -998.0 | YES |
