regime: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk   (cured arm: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk)
base  : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/verify-r2/raw/w-cold-desk/base.jsonl · load { 21.72 23.93 22.37 } → { 34.05 30.55 25.44 }
cured : /Users/mkbabb/Programming/csc411/CSC411_HW2_ProgrammingQuestion/docs/tranches/2026-08-tranche-9/evidence/w8/cures/C01/verify-r2/raw/w-cold-desk/cured.jsonl · load { 22.74 24.03 22.44 } → { 31.30 30.12 25.41 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 331.0 | 760.0 | 1249.0 | 531.0 | 0.0 |
| 2 | 20.0 | 308.0 | 708.0 | 1184.0 | 499.0 | 0.0 |
| 3 | 20.0 | 331.0 | 772.0 | 1042.0 | 551.0 | 0.0 |
| 4 | 20.0 | 370.0 | 817.0 | 1108.0 | 640.0 | 0.0 |
| 5 | 20.0 | 367.0 | 800.0 | 1062.0 | 606.0 | 0.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 41.0 | 346.0 | 629.0 | 196.0 | 0.0 |
| 2 | 20.0 | 45.0 | 524.0 | 1164.0 | 378.0 | 0.0 |
| 3 | 20.0 | 49.0 | 467.0 | 875.0 | 272.0 | 0.0 |
| 4 | 20.0 | 301.0 | 742.0 | 1233.0 | 316.0 | 0.0 |
| 5 | 20.0 | 46.0 | 375.0 | 713.0 | 238.0 | 0.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 20.0 | 20.0–20.0 | 20.0 | 20.0–20.0 | 0.0 | no — inside the spread |
| discardedMs | 331.0 | 308.0–370.0 | 46.0 | 41.0–301.0 | -285.0 | YES |
| encodeMs | 772.0 | 708.0–817.0 | 467.0 | 346.0–742.0 | -305.0 | no — inside the spread |
| lastEncodeMs | 1108.0 | 1042.0–1249.0 | 875.0 | 629.0–1233.0 | -233.0 | no — inside the spread |
| boardReadyMs | 551.0 | 499.0–640.0 | 272.0 | 196.0–378.0 | -279.0 | YES |
| tbtMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
