### w-cold-desk base
  w1 logo[22252B@762px, 22095B@762px, 22205B@762px, 22243B@762px]
  w2 logo[22252B@762px, 22095B@762px, 22205B@762px, 22243B@762px]
  w3 logo[22252B@762px, 22095B@762px, 22205B@762px, 22243B@762px]
  w4 logo[22252B@762px, 22095B@762px, 22205B@762px, 22243B@762px]
  w5 logo[22252B@762px, 22095B@762px, 22205B@762px, 22243B@762px]
### c4x-fast3g-cold-desk base
  w1 logo[21743B@765px, 21670B@765px, 21780B@765px, 22001B@765px]
  w2 logo[21780B@765px, 21743B@765px, 22001B@765px, 21670B@765px]
  w3 logo[21743B@765px, 21670B@765px, 22001B@765px, 21780B@765px]
  w4 logo[21670B@765px, 21780B@765px, 21743B@765px, 22001B@765px]
  w5 logo[21780B@765px, 21743B@765px, 22001B@765px, 21670B@765px]
### w-cold-desk cured
  w1 logo[22243B@762px, 22252B@762px, 22095B@762px, 22205B@762px]
  w2 logo[22243B@762px, 22252B@762px, 22095B@762px, 22205B@762px]
  w3 logo[22243B@762px, 22252B@762px, 22095B@762px, 22205B@762px]
  w4 logo[22243B@762px, 22252B@762px, 22095B@762px, 22205B@762px]
  w5 logo[22243B@762px, 22252B@762px, 22095B@762px, 22205B@762px]
### c4x-fast3g-cold-desk cured
  w1 logo[21780B@765px, 21743B@765px, 22001B@765px, 21670B@765px]
  w2 logo[21743B@765px, 22001B@765px, 21670B@765px, 21780B@765px]
  w3 logo[21780B@765px, 21743B@765px, 22001B@765px, 21670B@765px]
  w4 logo[21780B@765px, 21743B@765px, 22001B@765px, 21670B@765px]
  w5 logo[21743B@765px, 22001B@765px, 21670B@765px, 21780B@765px]
