regime: chromium · 4× · fast3g · cold · mobile   (cured arm: chromium · 4× · fast3g · cold · mobile)
base  : verify-r3/raw/c4x-cold-mobile/base.jsonl · load { 32.46 71.38 69.50 } → { 35.15 60.14 65.25 }
cured : verify-r3/raw/c4x-cold-mobile/cured.jsonl · load { 27.75 67.80 68.26 } → { 36.71 59.03 64.74 }
taint : base 0/0/0 · cured 0/0/0

### base — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 714.5 | 1514.7 | 3483.2 | 1408.5 | 1159.0 |
| 2 | 28.0 | 642.0 | 1503.4 | 3440.5 | 1361.3 | 1130.0 |
| 3 | 28.0 | 996.8 | 2092.1 | 4276.9 | 1566.0 | 1851.0 |

### cured — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 735.2 | 2456.3 | 1398.2 | 611.0 |
| 2 | 16.0 | 0.0 | 858.5 | 2649.4 | 1433.4 | 767.0 |
| 3 | 16.0 | 0.0 | 1117.9 | 3139.5 | 1536.5 | 1078.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 28.0–28.0 | 16.0 | 16.0–16.0 | -12.0 | YES |
| discardedMs | 714.5 | 642.0–996.8 | 0.0 | 0.0–0.0 | -714.5 | YES |
| encodeMs | 1514.7 | 1503.4–2092.1 | 858.5 | 735.2–1117.9 | -656.2 | YES |
| lastEncodeMs | 3483.2 | 3440.5–4276.9 | 2649.4 | 2456.3–3139.5 | -833.8 | YES |
| boardReadyMs | 1408.5 | 1361.3–1566.0 | 1433.4 | 1398.2–1536.5 | 24.9 | no — inside the spread |
| tbtMs | 1159.0 | 1130.0–1851.0 | 767.0 | 611.0–1078.0 | -392.0 | YES |
