regime: chromium · 4× · fast3g · warm · desk   (cured arm: chromium · 4× · fast3g · warm · desk)
base  : verify-r3/raw/c4x-warm-desk/base.jsonl · load { 66.81 103.68 78.43 } → { 32.33 75.54 70.85 }
cured : verify-r3/raw/c4x-warm-desk/cured.jsonl · load { 54.37 97.19 76.96 } → { 32.46 71.38 69.50 }
taint : base 0/0/0 · cured 0/0/0

### base — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 28.0 | 1512.3 | 3138.6 | 4543.7 | 732.1 | 2481.0 |
| 2 | 28.0 | 1325.7 | 2668.6 | 3978.2 | 740.6 | 2130.0 |
| 3 | 16.0 | 0.0 | 1346.5 | 2411.5 | 680.6 | 1053.0 |

### cured — 3 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 1187.8 | 2208.4 | 622.2 | 889.0 |
| 2 | 16.0 | 0.0 | 1498.4 | 2526.9 | 632.8 | 1144.0 |
| 3 | 16.0 | 0.0 | 843.8 | 1859.3 | 640.3 | 600.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 28.0 | 16.0–28.0 | 16.0 | 16.0–16.0 | -12.0 | no — inside the spread |
| discardedMs | 1325.7 | 0.0–1512.3 | 0.0 | 0.0–0.0 | -1325.7 | no — inside the spread |
| encodeMs | 2668.6 | 1346.5–3138.6 | 1187.8 | 843.8–1498.4 | -1480.8 | no — inside the spread |
| lastEncodeMs | 3978.2 | 2411.5–4543.7 | 2208.4 | 1859.3–2526.9 | -1769.8 | no — inside the spread |
| boardReadyMs | 732.1 | 680.6–740.6 | 632.8 | 622.2–640.3 | -99.3 | YES |
| tbtMs | 2130.0 | 1053.0–2481.0 | 889.0 | 600.0–1144.0 | -1241.0 | no — inside the spread |
