regime: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk   (cured arm: webkit · 1 (webkit: CDP unavailable)× · unthrottled (webkit: CDP unavailable) · cold · desk)
base  : verify-r3/raw/w-cold-desk/base.jsonl · load { 18.87 15.32 10.77 } → { 25.66 19.59 13.27 }
cured : verify-r3/raw/w-cold-desk/cured.jsonl · load { 17.37 15.22 10.83 } → { 23.79 19.49 13.34 }
taint : base 0/0/0/0/0 · cured 0/0/0/0/0

### base — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 20.0 | 264.0 | 600.0 | 1005.0 | 426.0 | 0.0 |
| 2 | 20.0 | 275.0 | 629.0 | 1055.0 | 444.0 | 0.0 |
| 3 | 20.0 | 357.0 | 843.0 | 1164.0 | 656.0 | 0.0 |
| 4 | 20.0 | 264.0 | 587.0 | 980.0 | 425.0 | 0.0 |
| 5 | 20.0 | 464.0 | 986.0 | 1358.0 | 790.0 | 0.0 |

### cured — 5 windows
| w | encodes | discardedMs | encodeMs | lastEncodeMs | boardReadyMs | tbtMs |
|---|---|---|---|---|---|---|
| 1 | 16.0 | 0.0 | 417.0 | 779.0 | 290.0 | 0.0 |
| 2 | 16.0 | 0.0 | 512.0 | 934.0 | 323.0 | 0.0 |
| 3 | 16.0 | 0.0 | 319.0 | 589.0 | 222.0 | 0.0 |
| 4 | 16.0 | 0.0 | 344.0 | 632.0 | 222.0 | 0.0 |
| 5 | 16.0 | 0.0 | 436.0 | 854.0 | 322.0 | 0.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 20.0 | 20.0–20.0 | 16.0 | 16.0–16.0 | -4.0 | YES |
| discardedMs | 275.0 | 264.0–464.0 | 0.0 | 0.0–0.0 | -275.0 | YES |
| encodeMs | 629.0 | 587.0–986.0 | 417.0 | 319.0–512.0 | -212.0 | YES |
| lastEncodeMs | 1055.0 | 980.0–1358.0 | 779.0 | 589.0–934.0 | -276.0 | YES |
| boardReadyMs | 444.0 | 425.0–790.0 | 290.0 | 222.0–323.0 | -154.0 | YES |
| tbtMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
