regime: chromium · 1x · none · cold(CDP cache disabled) · desk dpr2 · boot light
cured : chromium · 1x · none · cold(CDP cache disabled) · desk dpr2 · boot light
cell  : game-cell · longtask true

### base — 3 windows
| w | deltaMs | n1SettleMs | n234SettleMs | n1Bakes | n1WhirlFrames | n1WhirlLong33 | n1WhirlWorstMs | n1LongTaskMs | n1RecalcMs | boardReadyMs | bootBakes | bootLongTaskMs | tainted |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| base-w1 | 567.7 | 827.6 | 259.9 | 8.0 | 47.0 | 1.0 | 141.5 | 562.0 | 65.3 | 308.4 | 16.0 | 944.0 | 0 |
| base-w2 | 814.6 | 984.9 | 170.3 | 8.0 | 26.0 | 1.0 | 175.5 | 697.0 | 76.9 | 328.3 | 16.0 | 976.0 | 0 |
| base-w3 | 523.9 | 523.9 | 0.0 | 8.0 | 78.0 | 2.0 | 199.9 | 0.0 | 36.7 | 201.3 | 16.0 | 628.0 | 0 |

### cured — 3 windows
| w | deltaMs | n1SettleMs | n234SettleMs | n1Bakes | n1WhirlFrames | n1WhirlLong33 | n1WhirlWorstMs | n1LongTaskMs | n1RecalcMs | boardReadyMs | bootBakes | bootLongTaskMs | tainted |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| cured-w1 | 130.1 | 420.7 | 290.6 | 0.0 | 92.0 | 5.0 | 49.9 | 0.0 | 204.9 | 244.6 | 19.0 | 1228.0 | 0 |
| cured-w2 | 0.0 | 0.0 | 0.0 | 0.0 | 99.0 | 0.0 | 26.6 | 0.0 | 216.5 | 285.5 | 24.0 | 1291.0 | 0 |
| cured-w3 | 0.0 | 0.0 | 0.0 | 0.0 | 115.0 | 0.0 | 25.3 | 0.0 | 190.0 | 132.5 | 16.0 | 521.0 | 0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| deltaMs | 567.7 | 523.9–814.6 | 0.0 | 0.0–130.1 | -567.7 | YES |
| n1SettleMs | 827.6 | 523.9–984.9 | 0.0 | 0.0–420.7 | -827.6 | YES |
| n234SettleMs | 170.3 | 0.0–259.9 | 0.0 | 0.0–290.6 | -170.3 | no — inside the spread |
| n1Bakes | 8.0 | 8.0–8.0 | 0.0 | 0.0–0.0 | -8.0 | YES |
| n1WhirlFrames | 47.0 | 26.0–78.0 | 99.0 | 92.0–115.0 | 52.0 | YES |
| n1WhirlLong33 | 1.0 | 1.0–2.0 | 0.0 | 0.0–5.0 | -1.0 | no — inside the spread |
| n1WhirlWorstMs | 175.5 | 141.5–199.9 | 26.6 | 25.3–49.9 | -148.9 | YES |
| n1LongTaskMs | 562.0 | 0.0–697.0 | 0.0 | 0.0–0.0 | -562.0 | no — inside the spread |
| n1RecalcMs | 65.3 | 36.7–76.9 | 204.9 | 190.0–216.5 | 139.6 | YES |
| boardReadyMs | 308.4 | 201.3–328.3 | 244.6 | 132.5–285.5 | -63.8 | no — inside the spread |
| bootBakes | 16.0 | 16.0–16.0 | 19.0 | 16.0–24.0 | 3.0 | no — inside the spread |
| bootLongTaskMs | 944.0 | 628.0–976.0 | 1228.0 | 521.0–1291.0 | 284.0 | no — inside the spread |
