regime: webkit · 1x (webkit: no CDP CPU throttling) · unthrottled (webkit: no CDP net emulation) · cold(fresh-context) · desk dpr2 · boot light
cured : webkit · 1x (webkit: no CDP CPU throttling) · unthrottled (webkit: no CDP net emulation) · cold(fresh-context) · desk dpr2 · boot light
cell  : game-cell · longtask false

### base — 3 windows
| w | deltaMs | n1SettleMs | n234SettleMs | n1Bakes | n1WhirlFrames | n1WhirlLong33 | n1WhirlWorstMs | n1LongTaskMs | n1RecalcMs | boardReadyMs | bootBakes | bootLongTaskMs | tainted |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| base-w1 | 308.0 | 308.0 | 0.0 | 8.0 | 48.0 | 1.0 | 273.0 | — | — | 198.0 | 16.0 | — | 0 |
| base-w2 | 295.0 | 295.0 | 0.0 | 8.0 | 49.0 | 1.0 | 261.0 | — | — | 193.0 | 16.0 | — | 0 |
| base-w3 | 296.0 | 296.0 | 0.0 | 8.0 | 49.0 | 1.0 | 260.0 | — | — | 207.0 | 16.0 | — | 0 |

### cured — 3 windows
| w | deltaMs | n1SettleMs | n234SettleMs | n1Bakes | n1WhirlFrames | n1WhirlLong33 | n1WhirlWorstMs | n1LongTaskMs | n1RecalcMs | boardReadyMs | bootBakes | bootLongTaskMs | tainted |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| cured-w1 | 37.0 | 37.0 | 0.0 | 0.0 | 64.0 | 1.0 | 39.0 | — | — | 198.0 | 21.0 | — | 0 |
| cured-w2 | 37.0 | 37.0 | 0.0 | 0.0 | 64.0 | 1.0 | 38.0 | — | — | 189.0 | 21.0 | — | 0 |
| cured-w3 | 40.0 | 40.0 | 0.0 | 0.0 | 64.0 | 1.0 | 41.0 | — | — | 204.0 | 21.0 | — | 0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| deltaMs | 296.0 | 295.0–308.0 | 37.0 | 37.0–40.0 | -259.0 | YES |
| n1SettleMs | 296.0 | 295.0–308.0 | 37.0 | 37.0–40.0 | -259.0 | YES |
| n234SettleMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
| n1Bakes | 8.0 | 8.0–8.0 | 0.0 | 0.0–0.0 | -8.0 | YES |
| n1WhirlFrames | 49.0 | 48.0–49.0 | 64.0 | 64.0–64.0 | 15.0 | YES |
| n1WhirlLong33 | 1.0 | 1.0–1.0 | 1.0 | 1.0–1.0 | 0.0 | no — inside the spread |
| n1WhirlWorstMs | 261.0 | 260.0–273.0 | 39.0 | 38.0–41.0 | -222.0 | YES |
| n1LongTaskMs | — | — | — | — | — | — |
| n1RecalcMs | — | — | — | — | — | — |
| boardReadyMs | 198.0 | 193.0–207.0 | 198.0 | 189.0–204.0 | 0.0 | no — inside the spread |
| bootBakes | 16.0 | 16.0–16.0 | 21.0 | 21.0–21.0 | 5.0 | YES |
| bootLongTaskMs | — | — | — | — | — | — |
