|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| cured-w1 | 1529.8 | 1787.1 | 257.3 | 5.0 | 0.0 | 0.0 | — | 1279.0 | 127.3 | 1529.9 | 19.0 | 1665.0 | 0 |
| cured-w2 | 1384.8 | 1834.2 | 449.4 | 5.0 | 0.0 | 0.0 | — | 1319.0 | 135.2 | 1537.4 | 18.0 | 1661.0 | 0 |
| cured-w3 | 1726.7 | 2184.7 | 458.0 | 5.0 | 0.0 | 0.0 | — | 1512.0 | 166.6 | 1680.2 | 16.0 | 2043.0 | 0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| deltaMs | 1793.1 | 1543.1–1868.1 | 1529.8 | 1384.8–1726.7 | -263.3 | no — inside the spread |
| n1SettleMs | 2021.9 | 1959.9–2264.9 | 1834.2 | 1787.1–2184.7 | -187.7 | no — inside the spread |
| n234SettleMs | 416.8 | 153.8–471.8 | 449.4 | 257.3–458.0 | 32.6 | no — inside the spread |
| n1Bakes | 8.0 | 8.0–8.0 | 5.0 | 5.0–5.0 | -3.0 | YES |
| n1WhirlFrames | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
| n1WhirlLong33 | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
| n1WhirlWorstMs | — | — | — | — | — | — |
| n1LongTaskMs | 1267.0 | 0.0–1271.0 | 1319.0 | 1279.0–1512.0 | 52.0 | YES |
| n1RecalcMs | 163.4 | 157.0–191.3 | 135.2 | 127.3–166.6 | -28.2 | no — inside the spread |
| boardReadyMs | 1534.9 | 1522.6–1590.5 | 1537.4 | 1529.9–1680.2 | 2.5 | no — inside the spread |
| bootBakes | 16.0 | 16.0–16.0 | 18.0 | 16.0–19.0 | 2.0 | no — inside the spread |
| bootLongTaskMs | 1659.0 | 1657.0–1843.0 | 1665.0 | 1661.0–2043.0 | 6.0 | no — inside the spread |
