exclusions:

## pose mob  (base n=5, cured n=5)
base  busy leg1/leg2: 745/264  776/258  742/249  738/259  712/255
cured busy leg1/leg2: 573/446  710/227  536/400  674/215  596/425
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| boardReadyMs | 344.0 | 313.0–369.0 | 326.0 | 314.0–364.0 | -18.0 | no — inside the spread |
| drawnMs | 1134.0 | 1108.0–1205.0 | 1169.0 | 1044.0–1205.0 | 35.0 | no — inside the spread |
| firstBakeMs | 2025.0 | 2003.0–2110.0 | 1584.0 | 1549.0–1774.0 | -441.0 | YES |
| leg1DrawInMs | 812.0 | 771.0–836.0 | 837.0 | 730.0–879.0 | 25.0 | no — inside the spread |
| leg2BakeMs | 896.0 | 891.0–905.0 | 532.0 | 344.0–576.0 | -364.0 | YES |
| leg1LongtaskMs | 665.0 | 644.0–691.0 | 353.0 | 330.0–509.0 | -312.0 | YES |
| leg2LongtaskMs | 0.0 | 0.0–51.0 | 337.0 | 164.0–389.0 | 337.0 | YES |
| tbt3000Ms | 641.0 | 624.0–703.0 | 665.0 | 600.0–728.0 | 24.0 | no — inside the spread |
| longtaskCount | 6.0 | 6.0–7.0 | 6.0 | 6.0–6.0 | 0.0 | no — inside the spread |

## pose desk  (base n=5, cured n=5)
base  busy leg1/leg2: 357/58  376/38  399/60  388/49  393/75
cured busy leg1/leg2: 414/31  368/44  376/23  390/32  529/33
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| boardReadyMs | 373.0 | 339.0–388.0 | 350.0 | 324.0–443.0 | -23.0 | no — inside the spread |
| drawnMs | 916.0 | 886.0–926.0 | 913.0 | 877.0–1275.0 | -3.0 | no — inside the spread |
| firstBakeMs | 1115.0 | 1095.0–1227.0 | 1068.0 | 1024.0–1457.0 | -47.0 | no — inside the spread |
| leg1DrawInMs | 542.0 | 538.0–547.0 | 561.0 | 545.0–832.0 | 19.0 | no — inside the spread |
| leg2BakeMs | 218.0 | 169.0–312.0 | 158.0 | 111.0–182.0 | -60.0 | no — inside the spread |
| leg1LongtaskMs | 219.0 | 170.0–232.0 | 229.0 | 218.0–304.0 | 10.0 | no — inside the spread |
| leg2LongtaskMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
| tbt3000Ms | 249.0 | 209.0–252.0 | 231.0 | 195.0–380.0 | -18.0 | no — inside the spread |
| longtaskCount | 6.0 | 5.0–6.0 | 6.0 | 6.0–6.0 | 0.0 | no — inside the spread |
