exclusions:
cell mob-cr-4x-unthr-cold · chromium · 4× · unthrottled · cold-disabled · vp mob
load base { 10.27 19.97 29.48 } → { 9.51 15.87 26.02 } · cured { 9.69 19.52 29.21 } → { 8.66 15.48 25.76 }
n: base 10, cured 10
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| fcpMs | 32.0 | 28.0–308.0 | 32.0 | 28.0–428.0 | 0.0 | no — inside the spread |
| lcpMs | 1944.0 | 1324.0–2156.0 | 1510.0 | 1400.0–1712.0 | -434.0 | no — inside the spread |
| boardReadyMs | 281.9 | 261.2–362.1 | 294.7 | 259.1–430.6 | 12.8 | no — inside the spread |
| firstBakeMs | 1928.8 | 1305.3–2125.8 | 1493.4 | 1385.3–1701.3 | -435.4 | no — inside the spread |
| firstBoilTickMs | 2068.4 | 1306.3–2330.5 | 1562.2 | 1435.8–1709.2 | -506.2 | no — inside the spread |
| tbt3000Ms | 583.0 | 483.0–696.0 | 589.5 | 559.0–754.0 | 6.5 | no — inside the spread |
| longestTaskMs | 195.5 | 181.0–249.0 | 211.5 | 179.0–320.0 | 16.0 | no — inside the spread |
| rafGapsOver33 | 8.0 | 6.0–10.0 | 8.0 | 8.0–10.0 | 0.0 | no — inside the spread |
| worstRafGapMs | 214.3 | 203.8–250.5 | 218.2 | 180.8–339.8 | 3.9 | no — inside the spread |
| rafGapProxyTbtMs | 704.5 | 590.0–872.0 | 687.0 | 647.0–863.0 | -17.5 | no — inside the spread |
| bakeLayers | 4.0 | 4.0–4.0 | 4.0 | 4.0–4.0 | 0.0 | no — inside the spread |
