exclusions:
cell mob-cr-4x-unthr-cold · chromium · 4× · unthrottled · cold-disabled · vp mob
load base { 10.27 19.97 29.48 } → { 11.70 18.28 28.13 } · cured { 9.69 19.52 29.21 } → { 15.24 18.86 28.22 }
n: base 5, cured 5
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| fcpMs | 32.0 | 28.0–308.0 | 32.0 | 28.0–304.0 | 0.0 | no — inside the spread |
| lcpMs | 1920.0 | 1324.0–1996.0 | 1512.0 | 1416.0–1560.0 | -408.0 | no — inside the spread |
| boardReadyMs | 273.8 | 269.6–309.5 | 298.2 | 267.2–316.3 | 24.4 | no — inside the spread |
| firstBakeMs | 1904.8 | 1305.3–1973.6 | 1494.3 | 1393.9–1547.8 | -410.5 | no — inside the spread |
| firstBoilTickMs | 2068.2 | 1306.3–2194.6 | 1562.9 | 1437.5–1580.6 | -505.3 | no — inside the spread |
| tbt3000Ms | 562.0 | 483.0–610.0 | 590.0 | 561.0–628.0 | 28.0 | no — inside the spread |
| longestTaskMs | 190.0 | 187.0–225.0 | 210.0 | 185.0–223.0 | 20.0 | no — inside the spread |
| rafGapsOver33 | 7.0 | 6.0–10.0 | 8.0 | 8.0–9.0 | 1.0 | no — inside the spread |
| worstRafGapMs | 213.0 | 203.8–240.4 | 211.5 | 186.3–233.3 | -1.5 | no — inside the spread |
| rafGapProxyTbtMs | 699.0 | 590.0–789.0 | 685.0 | 649.0–748.0 | -14.0 | no — inside the spread |
| bakeLayers | 4.0 | 4.0–4.0 | 4.0 | 4.0–4.0 | 0.0 | no — inside the spread |
