exclusions:
cell mob-cr-6x-f3g-cold · chromium · 6× · fast3g · cold-disabled · vp mob
load base { 19.53 21.48 24.67 } → { 18.30 20.94 24.20 } · cured { 19.53 21.42 24.61 } → { 18.79 20.96 24.16 }
n: base 5, cured 5
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| fcpMs | 864.0 | 852.0–868.0 | 864.0 | 852.0–884.0 | 0.0 | no — inside the spread |
| lcpMs | 3436.0 | 3200.0–3648.0 | 4064.0 | 3952.0–4680.0 | 628.0 | YES |
| boardReadyMs | 1608.9 | 1539.7–1748.3 | 1589.2 | 1575.6–1721.4 | -19.7 | no — inside the spread |
| firstBakeMs | 3425.6 | 3186.5–3631.9 | 4035.6 | 3923.7–4655.7 | 610.0 | YES |
| firstBoilTickMs | 3471.2 | 3209.0–3637.3 | 4218.3 | 4086.5–4874.7 | 747.1 | YES |
| tbt3000Ms | 1232.0 | 1023.0–1444.0 | 1137.0 | 1074.0–1335.0 | -95.0 | no — inside the spread |
| longestTaskMs | 351.0 | 295.0–445.0 | 336.0 | 322.0–441.0 | -15.0 | no — inside the spread |
| rafGapsOver33 | 12.0 | 11.0–14.0 | 14.0 | 13.0–16.0 | 2.0 | no — inside the spread |
| worstRafGapMs | 678.2 | 661.6–685.0 | 680.1 | 672.0–695.4 | 1.9 | no — inside the spread |
| rafGapProxyTbtMs | 1960.0 | 1810.0–2009.0 | 1713.0 | 1609.0–1817.0 | -247.0 | no — inside the spread |
| bakeLayers | 4.0 | 4.0–4.0 | 4.0 | 4.0–4.0 | 0.0 | no — inside the spread |
