| 4 | 16.0 | 0.0 | 887.5 | 2918.6 | 1418.5 | 747.0 |
| 5 | 16.0 | 0.0 | 757.8 | 2573.0 | 1398.0 | 623.0 |

### the deltas, each against the arms' own spreads
| quantity | base median | base spread | cured median | cured spread | Δ median | outside both spreads |
|---|---|---|---|---|---|---|
| encodes | 16.0 | 16.0–16.0 | 16.0 | 16.0–16.0 | 0.0 | no — inside the spread |
| discardedMs | 0.0 | 0.0–0.0 | 0.0 | 0.0–0.0 | 0.0 | no — inside the spread |
| encodeMs | 832.7 | 763.8–1090.2 | 786.5 | 756.7–887.5 | -46.2 | no — inside the spread |
| lastEncodeMs | 2624.4 | 2542.6–3045.9 | 2649.3 | 2573.0–2918.6 | 24.9 | no — inside the spread |
| boardReadyMs | 1413.0 | 1398.9–1492.5 | 1401.4 | 1398.0–1418.5 | -11.6 | no — inside the spread |
| tbtMs | 693.0 | 626.0–996.0 | 662.0 | 615.0–747.0 | -31.0 | no — inside the spread |
