LOAD-OPEN { 273.81 184.22 108.54 }
w1 base:4252 total=7 {'firacode': 2, 'fraunces': 3, 'patrickhand': 2} statuses ['200']
w1 cured:4253 total=4 {'firacode': 1, 'fraunces': 2, 'patrickhand': 1} statuses ['200']
w2 base:4252 total=7 {'firacode': 2, 'fraunces': 3, 'patrickhand': 2} statuses ['200']
w2 cured:4253 total=4 {'firacode': 1, 'fraunces': 2, 'patrickhand': 1} statuses ['200']
w3 base:4252 total=7 {'firacode': 2, 'fraunces': 3, 'patrickhand': 2} statuses ['200']
w3 cured:4253 total=4 {'firacode': 1, 'fraunces': 2, 'patrickhand': 1} statuses ['200']
w4 base:4252 total=7 {'firacode': 2, 'fraunces': 3, 'patrickhand': 2} statuses ['200']
w4 cured:4253 total=4 {'firacode': 1, 'fraunces': 2, 'patrickhand': 1} statuses ['200']
w5 base:4252 total=7 {'firacode': 2, 'fraunces': 3, 'patrickhand': 2} statuses ['200']
w5 cured:4253 total=4 {'firacode': 1, 'fraunces': 2, 'patrickhand': 1} statuses ['200']
LOAD-CLOSE { 206.23 179.49 111.10 }
