webkit 1x desk c0 entry: board GLIDE 640->304px span=336 biggestStep=65.3px (0.194) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c0 exit: board NO TRAVEL 640->640px span=0 biggestStep=0px (null) distinct=1 | logo GLIDE span=133 distinct=22
webkit 1x desk c1 entry: board GLIDE 640->304px span=336 biggestStep=68.3px (0.203) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c1 exit: board NO TRAVEL 640->640px span=0 biggestStep=0px (null) distinct=1 | logo GLIDE span=124.3 distinct=21
webkit 1x desk c0 entry: board GLIDE 640->304px span=336 biggestStep=57px (0.17) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c0 exit: board NO TRAVEL 640->640px span=0 biggestStep=0px (null) distinct=1 | logo GLIDE span=122.7 distinct=21
webkit 1x desk c1 entry: board GLIDE 640->304px span=336 biggestStep=72.2px (0.215) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c1 exit: board NO TRAVEL 640->640px span=0 biggestStep=0px (null) distinct=1 | logo GLIDE span=117.5 distinct=20
webkit 1x desk c0 entry: board GLIDE 640->304px span=336 biggestStep=70.2px (0.209) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c0 exit: board NO TRAVEL 640->640px span=0 biggestStep=0px (null) distinct=1 | logo GLIDE span=120.1 distinct=20
webkit 1x desk c1 entry: board GLIDE 640->304px span=336 biggestStep=68.3px (0.203) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c1 exit: board NO TRAVEL 640->640px span=0 biggestStep=0px (null) distinct=1 | logo GLIDE span=117.5 distinct=20
webkit 1x desk c0 entry: board GLIDE 640->304px span=336 biggestStep=101.6px (0.302) distinct=25 | logo GLIDE span=149.7 distinct=21
webkit 1x desk c0 exit: board GLIDE 384.9->640px span=255.1 biggestStep=57.9px (0.227) distinct=24 | logo GLIDE span=124.3 distinct=21
webkit 1x desk c1 entry: board GLIDE 640->304px span=336 biggestStep=72.2px (0.215) distinct=25 | logo GLIDE span=149.7 distinct=21
webkit 1x desk c1 exit: board GLIDE 397->640px span=243 biggestStep=66.6px (0.274) distinct=23 | logo GLIDE span=118.4 distinct=20
webkit 1x desk c0 entry: board GLIDE 640->304px span=336 biggestStep=106.2px (0.316) distinct=24 | logo GLIDE span=149.7 distinct=20
webkit 1x desk c0 exit: board GLIDE 384.9->640px span=255.1 biggestStep=62.4px (0.245) distinct=24 | logo GLIDE span=124.3 distinct=21
webkit 1x desk c1 entry: board GLIDE 640->304px span=336 biggestStep=82.3px (0.245) distinct=25 | logo GLIDE span=149.7 distinct=21
webkit 1x desk c1 exit: board GLIDE 402.4->640px span=237.6 biggestStep=63.6px (0.268) distinct=23 | logo GLIDE span=115.8 distinct=20
webkit 1x desk c0 entry: board GLIDE 640->304px span=336 biggestStep=74.2px (0.221) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c0 exit: board GLIDE 378.3->640px span=261.7 biggestStep=47.4px (0.181) distinct=24 | logo GLIDE span=127.5 distinct=21
webkit 1x desk c1 entry: board GLIDE 640->304px span=336 biggestStep=66.4px (0.198) distinct=26 | logo GLIDE span=149.7 distinct=22
webkit 1x desk c1 exit: board GLIDE 393.5->640px span=246.5 biggestStep=63px (0.256) distinct=23 | logo GLIDE span=120.1 distinct=20
